Day,Susceptible,Exposed,Infected,Recovered,New_Exposed,New_Infections,New_Recoveries,Reported_Cases
0,814660,686,2186,6091,686,0,181,0
1,808202,1183,2127,12111,596,99,158,20
2,801751,1618,2172,18082,637,202,157,38
3,795353,2036,2226,24008,629,211,157,43
4,788966,2414,2338,29905,663,285,173,49
5,782640,2712,2533,35738,655,357,162,65
6,776278,3016,2794,41535,734,430,169,75
7,769913,3354,3027,47329,781,443,210,78
8,763540,3701,3280,53102,835,488,235,80
9,757127,4137,3526,58833,920,484,238,77
10,750766,4464,3838,64555,913,586,274,97
11,744412,4821,4129,70261,954,597,306,96
12,737965,5247,4503,75908,1095,669,295,109
13,731485,5639,4941,81558,1173,781,343,138
14,724994,6045,5406,87178,1229,823,358,149
15,718367,6602,5850,92804,1413,856,412,149
16,711709,7149,6335,98430,1490,943,458,150
17,704969,7717,6886,104051,1619,1051,500,180
18,698209,8256,7525,109633,1689,1150,511,204
19,691415,8854,8120,115234,1770,1172,577,189
20,684439,9623,8770,120791,2004,1235,585,216
21,677382,10433,9368,126440,2137,1327,729,228
22,670313,11137,10131,132042,2199,1495,732,264
23,663116,11937,10964,137606,2378,1578,745,281
24,655742,12902,11759,143220,2605,1640,845,277
25,648256,13883,12644,148840,2771,1790,905,305
26,640553,15012,13587,154471,3042,1913,970,355
27,632834,16019,14695,160075,3113,2106,998,386
28,624990,17046,15892,165695,3294,2267,1070,348
29,616985,18140,17081,171417,3513,2419,1230,388
30,608862,19221,18338,177202,3687,2606,1349,433
31,600500,20474,19662,182987,3983,2730,1406,469
32,592049,21704,21084,188786,4133,2903,1481,492
33,583317,23061,22553,194692,4474,3117,1648,524
34,574404,24463,24118,200638,4719,3317,1752,576
35,565373,25818,25803,206629,4901,3546,1861,616
36,556067,27470,27453,212633,5242,3590,1940,670
37,546632,29095,29193,218703,5436,3811,2071,677
38,536799,30783,31206,224835,5902,4214,2201,723
39,526863,32471,33135,231154,6077,4389,2460,750
40,516691,34193,35291,237448,6384,4662,2506,793
41,506313,35968,37436,243906,6662,4887,2742,836
42,495546,38041,39605,250431,7128,5055,2886,883
43,484560,40106,41926,257031,7422,5357,3036,922
44,473168,42206,44562,263687,7909,5809,3173,1033
45,461785,44089,47203,270546,7981,6098,3457,1099
46,449919,46423,49919,277362,8547,6213,3497,1089
47,437896,48436,52904,284387,8787,6774,3789,1214
48,425382,50801,55890,291550,9367,7002,4016,1241
49,412602,53406,58776,298839,9724,7119,4233,1272
50,399501,55987,61782,306353,10135,7554,4548,1332
51,386273,58260,65078,314012,10357,8084,4788,1472
52,372746,60573,68681,321623,10751,8438,4835,1586
53,358757,63174,71936,329756,11311,8710,5455,1565
54,344310,65908,75491,337914,11870,9136,5581,1633
55,329793,68432,79188,346210,12043,9519,5822,1720
56,315074,71273,82738,354538,12350,9509,5959,1748
57,305392,68554,86363,363314,7418,10137,6512,1831
58,296618,65336,89562,372107,6580,9798,6599,1720
59,287488,62891,92222,381022,7002,9447,6787,1688
60,278319,61134,94067,390103,7105,8862,7017,1553
61,268998,59807,95426,399392,7321,8648,7289,1618
62,259643,58660,96592,408728,7423,8570,7404,1524
63,250302,57748,97625,417948,7478,8390,7357,1537
64,241001,57021,98208,427393,7506,8233,7650,1475
65,231809,56453,98616,436745,7459,8027,7619,1425
66,222855,55629,99125,446014,7288,8112,7603,1513
67,214021,54966,99450,455186,7235,7898,7573,1383
68,205242,54427,99561,464393,7245,7784,7673,1388
69,196734,53700,99623,473566,7036,7763,7701,1396
