Day,Reported_Cases
0,0
1,12
2,19
3,38
4,31
5,55
6,45
7,52
8,81
9,69
10,78
11,83
12,87
13,96
14,114
15,115
16,139
17,130
18,144
19,161
20,168
21,171
22,184
23,164
24,214
25,240
26,242
27,208
28,176
29,196
30,210
31,224
32,158
33,190
34,196
35,212
36,174
37,176
38,176
39,177
40,191
41,192
42,177
43,190
44,189
45,209
46,193
47,169
48,175
49,155
50,191
51,172
52,151
53,170
54,177
55,175
56,140
57,173
58,160
59,177
60,147
61,153
62,166
63,140
64,142
65,156
66,145
67,172
68,178
69,155
70,159
71,161
72,145
73,140
74,139
75,138
76,138
77,138
78,141
79,117
80,114
81,110
82,111
83,113
84,108
85,100
86,96
87,92
88,89
89,96
90,78
91,76
92,72
93,80
94,75
95,50
96,82
97,85
98,75
99,66
100,68
101,63
102,58
103,37
104,44
105,49
106,45
107,53
108,32
109,35
110,36
111,28
112,29
113,27
114,35
115,25
116,27
117,26
118,23
119,19
120,18
121,15
122,17
123,19
124,12
125,9
126,11
127,19
128,10
129,8
130,11
131,9
132,16
133,9
134,4
135,13
