Day,Reported_Cases
0,0
1,129
2,225
3,297
4,453
5,545
6,722
7,881
8,1153
9,1421
10,1758
11,1732
12,1825
13,1903
14,1989
15,2145
16,2147
17,2165
18,2221
19,2300
20,2075
21,2036
22,1943
23,1785
24,1626
25,1501
26,1481
27,1237
28,1207
29,983
30,881
31,790
32,662
33,629
34,523
35,513
36,434
37,375
38,341
39,304
40,244
41,241
42,201
43,175
44,193
45,138
46,144
47,118
48,100
49,88
50,90
51,72
52,84
53,59
54,60
55,59
56,75
57,67
58,71
59,62
60,55
61,54
62,38
63,49
64,38
65,38
66,33
67,29
68,34
69,19
70,26
71,13
72,12
73,29
74,12
75,14
76,17
77,10
78,9
79,8
80,8
81,7
82,8
83,5
84,7
85,5
86,4
87,4
88,3
89,1
90,6
91,3
92,0
93,4
94,2
95,3
96,1
97,4
98,1
99,2
100,2
101,0
102,0
103,0
104,0
105,1
106,0
107,2
108,1
109,2
110,1
111,1
112,2
113,0
114,0
115,2
116,2
117,3
118,1
119,1
120,1
121,1
122,0
123,0
124,0
125,1
126,0
127,1
128,0
129,1
