Day,Reported_Cases
0,0
1,20
2,25
3,55
4,50
5,64
6,81
7,84
8,97
9,95
10,102
11,99
12,111
13,100
14,111
15,107
16,141
17,129
18,117
19,124
20,129
21,147
22,148
23,133
24,166
25,152
26,168
27,152
28,176
29,160
30,160
31,179
32,191
33,219
34,211
35,213
36,235
37,246
38,269
39,278
40,291
41,306
42,328
43,409
44,381
45,439
46,473
47,499
48,574
49,599
50,652
51,721
52,756
53,924
54,1013
55,1150
56,1226
57,1394
58,1535
59,1732
60,1941
61,2099
62,2305
63,2657
64,2589
65,2614
66,2651
67,2631
68,2754
69,2783
70,2787
71,2797
72,2868
73,2892
74,2941
75,2913
76,2864
77,2943
78,2923
79,2812
80,2873
81,2844
82,2694
83,2615
84,2476
85,2464
86,2268
87,2245
88,2176
89,2047
90,1924
91,1767
92,1813
93,1746
94,1559
95,1519
96,1391
97,1341
98,1273
99,1196
100,1121
101,1070
102,972
103,960
104,884
105,862
106,833
107,794
108,738
109,709
110,745
111,639
112,702
113,624
114,686
115,676
116,716
117,709
118,759
119,710
120,667
121,680
122,685
123,671
124,594
125,588
126,539
127,544
128,522
129,483
130,450
131,408
132,391
133,395
134,349
135,319
136,302
137,271
138,259
139,232
140,218
141,226
142,147
143,183
144,175
145,164
146,140
147,132
148,126
149,118
150,95
151,87
152,76
153,70
154,67
155,68
156,48
157,69
158,43
159,40
160,41
161,34
162,26
163,28
164,32
165,23
166,24
167,18
168,25
169,16
170,15
171,21
172,16
173,23
174,10
175,11
176,13
177,7
178,8
179,14
180,9
181,7
182,14
183,8
184,6
185,5
186,5
187,5
188,6
189,6
190,4
191,10
192,4
193,3
194,0
195,4
196,5
197,1
198,6
199,5
200,4
201,6
202,1
203,4
204,4
205,2
206,2
207,1
208,2
209,4
