Day,Reported_Cases
0,0
1,22
2,33
3,29
4,31
5,40
6,46
7,38
8,45
9,49
10,49
11,47
12,55
13,55
14,70
15,70
16,67
17,81
18,78
19,72
20,90
21,80
22,88
23,101
24,108
25,112
26,108
27,128
28,140
29,143
30,141
31,162
32,172
33,185
34,183
35,221
36,231
37,223
38,246
39,265
40,242
41,267
42,261
43,302
44,324
45,367
46,370
47,394
48,411
49,453
50,473
51,555
52,564
53,608
54,662
55,769
56,835
57,911
58,1020
59,1145
60,1242
61,1430
62,1525
63,1658
64,1981
65,2167
66,2470
67,2729
68,3022
69,3523
70,3699
71,3866
72,3229
73,3047
74,3082
75,3087
76,3081
77,3218
78,3276
79,3491
80,3464
81,3539
82,3573
83,3647
84,3549
85,3672
86,3551
87,3673
88,3646
89,3517
90,3573
91,3515
92,3405
93,3426
94,3261
95,3079
96,3161
97,2977
98,2834
99,2719
100,2579
101,2489
102,2273
103,2159
104,2107
105,2021
106,1887
107,1718
108,1585
109,1512
110,1453
111,1391
112,1299
113,1209
114,1073
115,1002
116,1008
117,866
118,843
119,762
120,677
121,758
122,791
123,892
124,922
125,901
126,867
127,790
128,697
129,643
130,593
131,594
132,504
133,445
134,447
135,422
136,344
137,303
138,292
139,277
140,285
141,260
142,226
143,187
144,198
145,191
146,154
147,156
148,129
149,122
150,115
151,110
152,87
153,94
154,92
155,87
156,85
157,73
158,77
159,59
160,53
161,64
162,49
163,48
164,43
165,45
166,46
167,43
168,35
169,37
170,42
171,28
172,28
173,27
174,21
175,27
176,25
177,23
178,24
179,18
180,14
181,10
182,23
183,19
