Day,Susceptible,Exposed,Infected,Recovered,New_Exposed,New_Infections,New_Recoveries,Reported_Cases
0,984567,225,1360,133,225,0,133,0
1,984377,303,1366,243,190,116,110,22
2,984185,342,1420,342,192,153,99,33
3,984007,335,1506,443,178,187,101,29
4,983783,397,1565,546,224,162,103,31
5,983547,439,1639,667,236,195,121,40
6,983331,440,1730,796,216,220,129,46
7,983052,493,1823,929,279,226,133,38
8,982773,521,1931,1075,279,254,146,45
9,982503,549,2034,1216,270,244,141,49
10,982190,605,2134,1374,313,258,158,49
11,981909,568,2309,1519,281,320,145,47
12,981591,618,2419,1679,318,270,160,55
13,981252,654,2542,1861,339,305,182,55
14,980892,659,2702,2059,360,358,198,70
15,980492,734,2816,2271,400,326,212,70
16,980092,771,2992,2459,400,364,188,67
17,979642,811,3155,2706,450,410,247,81
18,979219,809,3335,2954,423,428,248,78
19,978722,900,3484,3213,497,408,259,72
20,978243,930,3635,3511,479,449,298,90
21,977725,985,3825,3786,518,465,275,80
22,977161,1038,4047,4080,564,516,294,88
23,976578,1114,4243,4395,583,511,315,101
24,975965,1197,4457,4716,613,535,321,108
25,975330,1206,4752,5052,635,631,336,112
26,974650,1293,4989,5408,680,593,356,108
27,973900,1382,5245,5816,750,664,408,128
28,973159,1450,5522,6214,741,675,398,140
29,972307,1551,5842,6646,852,752,432,143
30,971430,1671,6147,7099,877,758,453,141
31,970538,1738,6495,7577,892,826,478,162
32,969617,1779,6856,8097,921,881,520,172
33,968624,1859,7233,8633,993,913,536,185
34,967549,2024,7582,9197,1075,913,564,183
35,966347,2180,8080,9750,1202,1051,553,221
36,965134,2319,8524,10382,1213,1076,632,231
37,963805,2526,8936,11095,1329,1125,713,223
38,962492,2607,9508,11756,1313,1233,661,246
39,961047,2760,10047,12514,1445,1297,758,265
40,959584,2898,10562,13326,1463,1327,812,242
41,958024,3039,11141,14170,1560,1423,844,267
42,956423,3140,11774,15042,1601,1505,872,261
43,954594,3377,12492,15919,1829,1595,877,302
44,952657,3626,13194,16909,1937,1692,990,324
45,950714,3769,14001,17904,1943,1802,995,367
46,948509,4031,14846,19004,2205,1945,1100,370
47,946174,4326,15726,20167,2335,2043,1163,394
48,943732,4600,16698,21367,2442,2172,1200,411
49,940977,5132,17620,22668,2755,2223,1301,453
50,938077,5455,18817,24050,2900,2579,1382,473
51,934868,5960,20061,25512,3209,2706,1462,555
52,931553,6364,21404,27085,3315,2916,1573,564
53,927799,6946,22906,28757,3754,3174,1672,608
54,923637,7733,24549,30492,4162,3378,1735,662
55,919143,8342,26474,32453,4494,3886,1961,769
56,914280,9003,28658,34472,4863,4203,2019,835
57,908777,9863,31066,36709,5503,4645,2237,911
58,902587,11136,33605,39091,6190,4921,2382,1020
59,895871,12272,36509,41767,6716,5580,2676,1145
60,888170,13931,39754,44566,7701,6044,2799,1242
61,879847,15310,43540,47725,8323,6945,3159,1430
62,870392,17189,47786,51059,9455,7580,3334,1525
63,859863,19197,52635,54735,10529,8525,3676,1658
64,848059,21351,58280,58741,11804,9651,4006,1981
65,834658,24080,64367,63327,13401,10673,4586,2167
66,819626,27035,71448,68323,15032,12077,4996,2470
67,803067,30005,79540,73825,16559,13594,5502,2729
68,784300,33821,88365,79955,18767,14955,6130,3022
69,765286,35911,98519,86726,19014,16925,6771,3523
70,746213,37072,108832,94326,19073,17913,7600,3699
71,733321,31386,119107,102632,12892,18581,8306,3866
72,719496,29591,125610,111754,13825,15625,9122,3229
73,704913,29454,130842,121244,14583,14722,9490,3047
74,689701,29827,135714,131214,15212,14842,9970,3082
75,673845,30726,140346,141544,15856,14962,10330,3087
76,657485,31836,144824,152319,16360,15253,10775,3081
77,640927,32395,149790,163352,16558,15999,11033,3218
78,624229,32862,154599,174776,16698,16233,11424,3276
79,607283,33228,159369,186590,16946,16584,11814,3491
80,589925,33965,163740,198840,17358,16621,12250,3464
81,572614,34276,167997,211585,17311,17002,12745,3539
82,555223,34588,172112,224552,17391,17082,12967,3573
83,537809,34700,176335,237634,17414,17305,13082,3647
84,520199,35062,180094,251126,17610,17251,13492,3549
85,502624,34971,183879,265009,17575,17668,13883,3672
86,485568,34599,187399,278919,17056,17430,13910,3551
87,468562,34333,190025,293570,17006,17277,14651,3673
88,452170,33499,192448,308378,16392,17231,14808,3646
89,435954,33002,194476,323066,16216,16716,14688,3517
90,419733,32670,196179,337917,16221,16554,14851,3573
91,403857,32127,197508,353009,15876,16421,15092,3515
92,388359,31522,198426,368194,15498,16103,15185,3405
93,373479,30631,199056,383339,14880,15775,15145,3426
94,359172,29799,198845,398690,14307,15140,15351,3261
95,345483,28588,198513,413923,13689,14901,15233,3079
96,332367,27219,197996,428925,13116,14485,15002,3161
97,319778,26182,196397,444155,12589,13631,15230,2977
98,307674,25276,194447,459115,12104,13010,14960,2834
99,296411,23908,191937,474258,11263,12633,15143,2719
100,285434,23003,189039,489040,10977,11884,14782,2579
101,275251,21594,186112,503564,10183,11597,14524,2489
102,265680,20310,182675,517860,9571,10859,14296,2273
103,256644,19241,178610,532032,9036,10107,14172,2159
104,247929,18345,174397,545857,8715,9612,13825,2107
105,239926,17178,170374,559055,8003,9175,13198,2021
106,232438,15963,166083,572051,7488,8705,12996,1887
107,225437,15034,161286,584781,7001,7933,12730,1718
108,218796,14282,156061,597403,6641,7397,12622,1585
109,212641,13313,151350,609240,6155,7126,11837,1512
110,206905,12503,146078,621059,5736,6547,11819,1453
111,201523,11667,140887,632473,5382,6223,11414,1391
112,196537,10812,135867,643339,4986,5846,10866,1299
113,191953,9950,131006,653647,4584,5447,10308,1209
114,187691,9308,125802,663758,4262,4907,10111,1073
115,183621,8727,120665,673551,4070,4656,9793,1002
116,179991,7964,115769,682840,3630,4393,9289,1008
117,176509,7484,110931,691644,3482,3966,8804,866
118,173447,6801,106253,700069,3062,3747,8425,843
119,170517,6367,101426,708260,2930,3364,8191,762
120,166982,6663,96905,716020,3535,3239,7760,677
121,163028,7317,92764,723464,3954,3303,7444,758
122,158604,8081,89375,730518,4424,3665,7054,791
123,154523,8181,86534,737340,4081,3981,6822,892
124,150771,7879,83889,744041,3752,4056,6701,922
125,147268,7434,81226,750656,3503,3952,6615,901
126,144027,6898,78767,756895,3241,3780,6239,867
127,141128,6427,76120,762912,2899,3370,6017,790
128,138493,5890,73484,768723,2635,3175,5811,697
129,135991,5494,70704,774404,2502,2901,5681,643
130,133798,4975,67937,779883,2193,2712,5479,593
131,131785,4525,65174,785109,2013,2463,5226,594
132,129907,4161,62394,790132,1878,2243,5023,504
133,128067,3871,59697,794960,1840,2131,4828,445
134,126575,3486,56896,799643,1492,1882,4683,447
135,125124,3179,54302,803997,1451,1760,4354,422
136,123785,2892,51792,808134,1339,1627,4137,344
137,122548,2710,49197,812149,1237,1420,4015,303
138,121440,2449,46713,816002,1108,1369,3853,292
139,120405,2296,44276,819631,1035,1192,3629,277
140,119420,2156,41885,823148,985,1126,3517,285
141,118508,1952,39840,826314,912,1121,3166,260
142,117701,1751,37783,829384,807,1013,3070,226
143,116945,1613,35693,832372,756,898,2988,187
144,116258,1498,33799,835068,687,802,2696,198
145,115591,1398,31873,837761,667,767,2693,191
146,115017,1322,30039,840250,574,655,2489,154
147,114473,1200,28352,842607,544,670,2357,156
148,113939,1142,26710,844843,534,594,2236,129
149,113488,1023,25218,846905,451,570,2062,122
150,113047,981,23787,848822,441,486,1917,115
151,112668,874,22498,850599,379,488,1777,110
152,112269,857,21174,852343,399,420,1744,87
153,111929,772,20062,853880,340,425,1537,94
154,111572,739,18854,855481,357,393,1601,92
155,111229,721,17775,856921,343,361,1440,87
156,110914,671,16780,858286,315,370,1365,85
157,110637,621,15858,859535,277,327,1249,73
158,110366,604,14933,860753,271,293,1218,77
159,110115,581,14081,861880,251,275,1127,59
160,109881,523,13300,862953,234,292,1073,53
161,109653,508,12512,863987,228,246,1034,64
162,109438,481,11827,864915,215,243,928,49
163,109258,413,11181,865810,180,249,895,48
164,109087,396,10515,866669,171,193,859,43
165,108941,352,9906,867471,146,193,802,45
166,108769,347,9318,868236,172,177,765,46
167,108611,327,8750,868983,158,179,747,43
168,108463,311,8268,869632,148,167,649,35
169,108344,273,7786,870272,119,158,640,37
170,108221,243,7369,870847,123,158,575,42
171,108103,229,6897,871452,118,133,605,28
172,108002,216,6478,871989,101,118,537,28
173,107895,222,6119,872454,107,106,465,27
174,107800,211,5745,872937,95,109,483,21
175,107693,212,5440,873353,107,111,416,27
176,107601,195,5111,873791,92,109,438,25
177,107513,189,4800,874197,88,95,406,23
178,107445,160,4543,874556,68,102,359,24
179,107394,129,4276,874907,51,84,351,18
180,107318,143,4016,875232,76,65,325,14
181,107262,141,3746,875565,56,63,333,10
182,107202,127,3552,875835,60,76,270,23
183,107148,117,3350,876102,54,65,267,19
