Day,Susceptible,Exposed,Infected,Recovered,New_Exposed,New_Infections,New_Recoveries,Reported_Cases,Beta_Effective,Seasonality,Rt
0,188808,713,3866,314,713,1,314,0,0.31078859426959765,0.6302302894887497,0.3040834546957585
1,188152,1259,3654,640,656,114,326,23,0.30726866317534784,0.623075939689523,0.2995084241446106
2,187558,1646,3579,925,594,210,285,42,0.3040225909461343,0.6164747779260191,0.2953147058941511
3,186960,1996,3580,1174,598,250,249,48,0.30105532851846023,0.6104364923134153,0.2915092168624954
4,186427,2204,3653,1429,533,328,255,62,0.29837144858150944,0.6049699448685186,0.2879892928590552
5,185906,2312,3778,1719,521,415,290,75,0.29597514423114196,0.6000831585035319,0.2848619422487305
6,185343,2488,3870,2017,563,390,298,74,0.2938702291339061,0.5957833052513257,0.2820456314784096
7,184771,2671,3955,2323,572,391,306,91,0.2920601393705637,0.5920766957394905,0.2794594858614269
8,184168,2836,4095,2622,603,439,299,95,0.29054793715592714,0.5889687699286206,0.27715453224696857
9,183566,2969,4263,2926,602,472,304,88,0.2893363166638758,0.586464089128421,0.27509804216495964
10,182959,3123,4363,3279,607,453,353,96,0.2884276122239879,0.5845663293033576,0.2733376513449074
11,182337,3210,4596,3582,622,536,303,97,0.28782380920017947,0.583278275677672,0.2718634811949181
12,181670,3357,4801,3897,667,520,315,112,0.287526557913035,0.5826018186476798,0.27065942173561724
13,180950,3493,5010,4273,720,585,376,114,0.2875371910272477,0.5825379510073552,0.26967930559587033
14,180245,3580,5255,4648,705,620,375,114,0.2878567448949761,0.5830867664912676,0.2689090242062257
15,179504,3776,5400,5051,741,548,403,123,0.28848598542630816,0.5842474596370134,0.2684468582507223
16,178743,3931,5597,5463,761,609,412,113,0.2894254391508632,0.5860183269673438,0.2682138566305449
17,177937,4109,5772,5920,806,632,457,130,0.29067543024142134,0.5883967694902517,0.268230244851019
18,177111,4276,5962,6391,826,661,471,133,0.2922361243929727,0.5913792965133512,0.2684544102535487
19,176297,4353,6230,6864,814,741,473,130,0.2941075805903787,0.5949615307669505,0.2689193996176694
20,175407,4475,6524,7342,890,772,478,132,0.2962898119565127,0.599138214828298,0.2696696178549165
21,174478,4690,6760,7821,929,715,479,143,0.2987828570516806,0.6039032188375757,0.27056584722180765
22,173542,4781,7074,8352,936,845,531,164,0.3015868631953503,0.6092495494943138,0.27165860979142137
23,172523,5028,7337,8863,1019,774,511,170,0.3047021836031079,0.6151693603210229,0.272992392084928
24,171461,5239,7603,9451,1062,854,588,192,0.3081294903747445,0.6216539631789828,0.27444204474921036
25,170323,5497,7940,9997,1138,883,546,175,0.3118699056313614,0.6286938410192828,0.2760636339156368
26,169152,5728,8300,10581,1171,944,584,204,0.31592515337618,0.6362786618504053,0.27779721165973725
27,167968,5989,8540,11268,1184,927,687,208,0.3202977349380798,0.6443972939018454,0.27970574321242164
28,166767,6136,8929,11933,1201,1054,665,217,0.32499113113732436,0.6530378219615214,0.2818178126735885
29,165399,6489,9245,12632,1368,1015,699,193,0.3300100345722343,0.6621875648629914,0.2841238174264729
30,164005,6791,9624,13347,1394,1094,715,211,0.3353606156388104,0.6718330940968124,0.2863619538773547
31,162533,7101,10099,14035,1472,1163,688,252,0.34105082602733666,0.681960253518731,0.28876634343114793
32,161019,7439,10471,14843,1514,1180,808,240,0.34709074344236795,0.6925541801257766,0.29124264225048213
33,159423,7828,10888,15633,1596,1207,790,258,0.35349296109981193,0.7035993258697684,0.29385174549989995
34,157693,8245,11327,16510,1730,1316,877,235,0.36027302508032255,0.7150794804762188,0.2965193932750659
35,155968,8661,11810,17339,1725,1312,829,268,0.36744992174917,0.7269777952351486,0.2991444528156524
36,154131,9092,12262,18294,1837,1407,955,289,0.37504661604539374,0.7392768077288905,0.30198900677009793
37,152239,9476,12766,19298,1892,1508,1004,314,0.3830906393183662,0.7519584674605959,0.30483295471749666
38,150171,9911,13428,20271,2068,1635,973,382,0.39161472233082356,0.7650041623458286,0.30779057156903583
39,147989,10458,14048,21287,2182,1636,1016,353,0.40065746479962566,0.7783947460283638,0.3106201969355941
40,145698,11006,14698,22384,2291,1747,1097,348,0.41026402712428406,0.7921105659801081,0.3134463764073086
41,143259,11586,15435,23510,2439,1863,1126,355,0.4204868224604788,0.8061314923438927,0.31628337149636987
42,140717,12245,16154,24678,2542,1887,1168,389,0.4313861777519517,0.8204369474768158,0.31904983189760894
43,137980,12957,16915,25942,2737,2025,1264,452,0.4430309205325038,0.8350059361507709,0.3218481261981019
44,135210,13617,17683,27287,2770,2113,1345,431,0.45549883419913323,0.8498170763658387,0.32446943284871654
45,132112,14461,18554,28672,3098,2256,1385,463,0.468876908260818,0.8648486307313215,0.32729399466156534
46,129249,14932,19461,30159,2863,2394,1487,534,0.48326129244115473,0.8800785383683606,0.3296056575476811
47,126800,14891,20481,31633,2449,2494,1474,526,0.49875684574054274,0.8954844472873202,0.3328023931601415
48,125017,14183,21401,33205,1783,2492,1572,537,0.5154761557686802,0.9110437471924107,0.3374412831774324
49,123065,13840,22017,34888,1952,2299,1683,475,0.5335378929967117,0.9267336026654189,0.34435367459354627
50,121094,13471,22727,36518,1971,2340,1630,518,0.553064363337633,0.9425309866798337,0.3513828904189251
51,118947,13412,23187,38264,2147,2206,1746,479,0.574178135962608,0.9584127143961796,0.3589547093250184
52,116782,13366,23686,39977,2165,2212,1713,485,0.5969976574137664,0.9743554771889684,0.36660340917085843
53,114467,13485,24065,41797,2315,2199,1820,407,0.6216318234720589,0.9903358768553202,0.37478269286894156
54,112084,13603,24476,43652,2383,2266,1855,487,0.6481735706545894,1.0063304599550542,0.3830381213841966
55,109633,13753,24848,45584,2451,2304,1932,446,0.6766926695693053,1.0223157522318447,0.3915664490242953
56,107059,13995,25345,47419,2574,2332,1835,509,0.7072280464202628,1.0382682930649276,0.4002866928920633
57,104352,14393,25745,49330,2707,2311,1911,470,0.7397801124198652,1.0541646699008025,0.4088803255320514
58,101563,14802,26167,51290,2789,2382,1960,492,0.774303720656741,1.0699815526143779,0.41714063943196816
59,98683,15161,26662,53317,2880,2522,2027,530,0.8107024659324878,1.0856957277491488,0.42507679167527757
60,95717,15587,27151,55369,2966,2541,2052,528,0.8488250627434916,1.1012841325861455,0.43244503699904996
61,92739,16042,27639,57407,2978,2526,2038,512,0.8884644529444646,1.1167238889916549,0.4390353745094751
62,89665,16498,28148,59520,3074,2622,2113,529,0.9293600955287068,1.1319923369940335,0.44495573515351955
63,86496,16915,28741,61680,3169,2753,2160,633,0.9712035871888104,1.1470670680403439,0.44957650823585277
64,83143,17461,29315,63917,3353,2811,2237,590,1.0136473909531325,1.1619259578839944,0.45264039611709933
65,79642,18125,29875,66198,3501,2841,2281,569,1.056316070365413,1.1765471990551233,0.45340881279500017
66,76160,18655,30533,68493,3482,2953,2295,600,1.098819107457696,1.1909093328660663,0.4517922114411246
67,72631,19134,31222,70854,3529,3050,2361,656,1.1407641860040263,1.2049912809049403,0.44853175222543434
68,69127,19358,32052,73304,3504,3280,2450,657,1.1817697851649431,1.2187723759711209,0.4431240127326535
69,65632,19597,32921,75694,3495,3259,2390,720,1.2214760563945977,1.2322323924072074,0.4359162382570436
70,62046,19918,33629,78255,3586,3269,2561,673,1.259553217842331,1.2453515757829654,0.42677850693561104
71,58464,20170,34370,80846,3582,3332,2591,718,1.2957070404053512,1.2581106718876776,0.4150409862105856
72,54941,20312,35101,83498,3523,3383,2652,728,1.3296813543134596,1.270490954988351,0.4013344899255658
73,51528,20362,35780,86186,3413,3367,2688,696,1.3612578181397141,1.2824742553123145,0.3861066896562418
74,48233,20232,36440,88951,3295,3425,2765,741,1.3902534254392043,1.2940429857138647,0.3698346851111581
75,44939,20158,37020,91743,3294,3372,2792,686,1.4165163625062565,1.3051801674858288,0.35272500626104425
76,41845,19900,37474,94642,3094,3353,2899,733,1.4399208789272329,1.3158694552781571,0.3340661041719717
77,38846,19610,37968,97437,2999,3289,2795,701,1.4603618092368682,1.3260951610869778,0.31548187871717476
78,36084,19177,38232,100371,2762,3198,2934,659,1.4777493134109012,1.3358422772789091,0.2963585432563752
79,33418,18674,38452,103320,2666,3169,2949,688,1.4920043095871582,1.345096498616828,0.2779426097426072
80,30868,18050,38668,106278,2550,3174,2958,688,1.503054972413156,1.3538442432547781,0.2593138413428129
81,28495,17448,38650,109272,2373,2976,2994,616,1.5108345755758636,1.3620726726712042,0.24076634836796984
82,26268,16785,38623,112192,2227,2893,2920,583,1.5152808708542045,1.3697697105112503,0.22291134958694142
83,24268,16016,38411,115173,2000,2769,2981,615,1.5163371158436003,1.376924060310477,0.20563316137831542
84,22383,15216,38180,118089,1885,2685,2916,595,1.513954781605326,1.383525222073981,0.18967813443468276
85,20720,14317,37798,121035,1663,2564,2946,603,1.5080978813608945,1.3895635076865844,0.1742682234305674
