Day,Susceptible,Exposed,Infected,Recovered,New_Exposed,New_Infections,New_Recoveries,Reported_Cases,Beta_Effective,Seasonality,Rt
0,210249,1167,4107,317,1165,0,317,0,0.5412932668543639,1.0,0.5301984577263896
1,209113,2099,3980,648,1136,204,331,41,0.5413075874631973,1.0,0.5272907410027418
2,208037,2798,4047,958,1076,377,310,63,0.5413241065829762,1.0,0.5244577317241909
3,206953,3398,4242,1249,1084,486,291,80,0.5413431616186425,1.0,0.521777478079196
4,205836,3955,4487,1567,1117,563,318,93,0.5413651417195084,1.0,0.5190797736000029
5,204634,4473,4820,1921,1202,687,354,103,0.5413904957025063,1.0,0.5163022918736324
6,203315,5066,5132,2337,1319,728,416,128,0.5414197411846108,1.0,0.5133150201427535
7,201918,5635,5564,2733,1397,828,396,157,0.5414534751076326,1.0,0.510038145699591
8,200448,6199,6020,3184,1470,907,451,137,0.5414923858658787,1.0,0.50657001811204
9,198866,6691,6654,3643,1582,1093,459,199,0.5415372672784154,1.0,0.5029237768670198
10,197137,7294,7241,4184,1729,1128,541,206,0.5415890346833346,1.0,0.49900223765664997
11,195311,7869,7928,4748,1826,1251,564,244,0.5416487434720895,1.0,0.4947182995666069
12,193311,8529,8676,5343,2000,1343,595,236,0.5417176104282467,1.0,0.4901982422481273
13,191126,9369,9355,6011,2185,1347,668,233,0.541797038287546,1.0,0.48524971167451425
14,188772,10296,10037,6758,2354,1429,747,236,0.5418886439956482,1.0,0.47984603717747687
15,186300,11117,10933,7514,2472,1652,756,278,0.5419942912071064,1.0,0.4740284210368326
16,183673,11882,11980,8330,2627,1863,816,329,0.542116127644594,1.0,0.4679261046719664
17,180782,12809,13018,9256,2891,1964,926,365,0.5422566280219238,1.0,0.46144748208689296
18,177690,13774,14186,10216,3092,2128,960,372,0.5424186433284156,1.0,0.45432003251604275
19,174439,14761,15417,11250,3251,2265,1034,414,0.5426054573761164,1.0,0.44670337809450666
20,170999,15690,16819,12359,3440,2511,1109,465,0.5428208516252494,1.0,0.43870461427856483
21,167287,16685,18210,13687,3712,2719,1328,490,0.5430691794267419,1.0,0.43024994029222585
22,163234,17938,19579,15118,4053,2800,1431,501,0.5433554509526651,1.0,0.4211320681414695
23,159093,19204,20994,16580,4141,2877,1462,521,0.5436854302239796,1.0,0.41117851127781524
24,155108,19924,22707,18134,3985,3267,1554,617,0.5440657457867943,1.0,0.40102786207460445
25,152870,18888,24221,19894,2238,3274,1760,624,0.5445040167283852,1.0,0.39129777438035185
26,150452,18089,25633,21702,2418,3220,1808,613,0.5450089958549578,1.0,0.3860095312055681
27,147902,17633,26650,23692,2550,3007,1990,584,0.5455907319638437,1.0,0.3803093839149001
28,145341,17311,27467,25761,2561,2886,2069,563,0.5462607532184816,1.0,0.37432267683410636
29,142697,17035,28232,27917,2644,2921,2156,580,0.5470322736545407,1.0,0.3683606115939946
30,140111,16768,28941,30062,2586,2854,2145,565,0.5479204247821349,1.0,0.3622466889756961
31,137443,16674,29470,32298,2668,2765,2236,531,0.5489425140653451,1.0,0.356345428461205
32,134799,16499,30058,34531,2644,2821,2233,588,0.5501183117079921,1.0,0.350308616258868
33,132094,16414,30554,36827,2705,2792,2296,561,0.5514703665916137,1.0,0.3444141158933225
34,129482,16287,30971,39149,2612,2739,2322,603,0.5530243513191645,1.0,0.33845383418653674
35,126830,16290,31284,41485,2652,2649,2336,544,0.5548094350181446,1.0,0.33283219481749926
36,124170,16242,31653,43825,2660,2709,2340,540,0.5568586807305492,1.0,0.3272194260373778
37,121467,16258,31973,46192,2703,2687,2367,539,0.559209461723133,1.0,0.32170905430073216
