Day,Reported_Cases
0,0
1,41
2,63
3,80
4,93
5,103
6,128
7,157
8,137
9,199
10,206
11,244
12,236
13,233
14,236
15,278
16,329
17,365
18,372
19,414
20,465
21,490
22,501
23,521
24,617
25,624
26,613
27,584
28,563
29,580
30,565
31,531
32,588
33,561
34,603
35,544
36,540
37,539
38,569
39,563
40,542
41,554
42,577
43,549
44,576
45,553
46,583
47,561
48,579
49,569
50,564
51,528
52,509
53,544
54,539
55,529
56,547
57,532
58,558
59,537
60,517
61,548
62,534
63,489
64,562
65,497
66,534
67,512
68,538
69,532
70,531
71,487
72,535
73,497
74,505
75,490
76,477
77,452
78,423
79,377
80,402
81,400
82,399
83,362
84,326
85,353
86,355
87,310
88,309
89,288
90,263
91,283
92,276
93,298
94,267
95,252
96,259
97,231
98,243
99,236
100,193
101,211
102,214
103,164
104,183
105,144
106,135
