Day,Susceptible,Exposed,Infected,Recovered,New_Exposed,New_Infections,New_Recoveries,Reported_Cases,Beta_Effective,Season_Index,Intervention_Flag,Quarantine_Fraction,Reporting_Prob,MultiWave_Flag,Rt
0,714120,663,2289,5330,662,1,147,1,0.2729662142106319,1.0,0,0.0,0.528,0,3.372969146111857
1,708295,1349,2111,10649,685,1,179,0,0.3062752497378935,1.0209056926535307,0,0.0,0.5299159663865546,0,3.753689576638657
2,702579,1976,1977,15883,617,1,135,0,0.2974587926374902,1.0415823381635518,0,0.0,0.5318319327731093,0,3.6162150656224945
3,696924,2574,1819,21100,597,1,159,1,0.3259785954320914,1.0618033988749895,0,0.0,0.5337478991596638,0,3.9310338220327186
4,691482,3004,1688,26249,425,1,132,0,0.2513879030020607,1.08134732861516,0,0.0,0.5356638655462185,0,3.007859391328747
5,686120,3389,1556,31361,385,3,135,2,0.2611483622473812,1.1,0,0.0,0.5375798319327731,0,3.100413799577332
6,680735,3173,2127,36394,446,665,94,344,0.31943023855155805,1.1175570504584946,0,0.0,0.5394957983193277,0,3.762585538489667
7,675260,3066,2656,41453,575,688,159,359,0.29649324188078036,1.1338261212717717,0,0.0,0.5414117647058824,0,3.464320779907526
8,669648,3204,3060,46539,751,629,225,350,0.2851971660521374,1.1486289650954788,0,0.0,0.5433277310924369,0,3.30463925547622
9,663997,3446,3414,51606,830,600,246,339,0.29513746114967976,1.1618033988749894,0,0.0,0.5452436974789916,0,3.3909604926461085
10,658344,3891,3599,56632,874,432,247,232,0.28444064408791186,1.1732050807568877,0,0.0,0.5471596638655462,0,3.2402372541426536
11,652513,4598,3716,61642,1092,388,271,205,0.33534158988432294,1.18270909152852,0,0.0,0.5490756302521008,0,3.7862463116034957
12,646760,5208,3859,66646,1055,449,306,233,0.3135964031438959,1.1902113032590307,0,0.0,0.5509915966386555,0,3.5095101345747874
13,641123,5619,4153,71589,981,581,287,328,0.2898397634901268,1.195629520146761,0,0.0,0.55290756302521,0,3.2153747696580934
14,635196,6167,4625,76499,1312,767,295,402,0.3486052134612642,1.1989043790736547,0,0.0,0.5548235294117647,0,3.831544801525145
15,629521,6431,5174,81364,1103,842,293,462,0.28012896811512566,1.2,0,0.0,0.5567394957983193,0,3.0514096784468787
