Day,Reported_Cases
0,0
1,0
2,1
3,1
4,1
5,2
6,2
7,2
8,1
9,3
10,1
11,6
12,2
13,4
14,2
15,5
16,1
17,3
18,6
19,3
20,3
21,7
22,2
23,5
24,9
25,12
26,11
27,13
28,8
29,13
30,14
31,17
32,22
33,20
34,30
35,26
36,36
37,43
38,48
39,38
40,47
41,57
42,67
43,71
44,83
45,110
46,102
47,139
48,155
49,139
50,148
51,166
52,155
53,161
54,165
55,152
56,181
57,204
58,175
59,216
60,188
61,201
62,195
63,205
64,200
65,173
66,198
67,192
68,209
69,180
70,167
71,205
72,162
73,169
74,160
75,159
76,146
77,133
78,150
79,97
80,104
81,96
82,89
83,85
84,70
85,72
86,63
87,67
88,58
89,67
90,37
91,41
92,35
93,41
94,35
95,23
96,27
97,20
98,29
99,25
100,20
101,17
102,19
103,12
104,20
105,24
106,13
107,21
108,12
109,17
110,15
111,11
112,9
113,14
114,15
115,12
116,12
117,11
118,15
119,12
120,10
121,11
122,11
123,9
124,10
125,8
126,4
127,9
128,9
129,8
130,6
131,7
132,4
133,4
134,5
135,8
136,5
137,6
138,2
139,8
140,6
141,5
142,2
143,1
144,3
145,2
146,3
147,3
148,1
149,2
150,1
151,2
