Day,Susceptible,Exposed,Infected,Recovered,New_Exposed,New_Infections,New_Recoveries,Reported_Cases
0,435146,1501,4164,364,1501,0,364,0
1,433794,2455,4234,692,1352,398,328,137
2,432428,3184,4564,999,1366,637,307,237
3,430976,3860,4974,1365,1452,776,366,286
4,429288,4565,5572,1750,1688,983,385,376
5,427394,5336,6247,2198,1894,1123,448,424
6,425169,6178,7120,2708,2225,1383,510,557
7,422711,7078,8141,3245,2458,1558,537,585
8,419915,8115,9296,3849,2796,1759,604,693
9,416700,9304,10618,4553,3215,2026,704,780
10,412974,10708,12119,5374,3726,2322,821,940
11,408750,12243,13896,6286,4224,2689,912,1065
12,403865,14061,15848,7401,4885,3067,1115,1184
13,398369,16036,18182,8588,5496,3521,1187,1437
14,391936,18462,20775,10002,6433,4007,1414,1620
15,385137,20651,23787,11600,6799,4610,1598,1885
16,380982,19558,27303,13332,4155,5248,1732,2129
17,376291,19389,30111,15384,4691,4860,2052,2040
18,371272,19695,32491,17717,5019,4713,2333,1927
19,365770,20223,34945,20237,5502,4974,2520,2000
20,359917,21015,37261,22982,5853,5061,2745,2124
21,353786,21884,39632,25873,6131,5262,2891,2247
22,347282,22861,42116,28916,6504,5527,3043,2340
23,340503,23873,44684,32115,6779,5767,3199,2384
24,333441,24959,47253,35522,7062,5976,3407,2615
25,326005,26329,49691,39150,7436,6066,3628,2607
26,318233,27506,52462,42974,7772,6595,3824,2782
27,310297,28641,55245,46992,7936,6801,4018,2893
28,301828,30088,58039,51220,8469,7022,4228,3027
29,293516,30887,61104,55668,8312,7513,4448,3261
30,284804,31791,64153,60427,8712,7808,4759,3409
31,275978,32653,67356,65188,8826,7964,4761,3461
32,267065,33339,70364,70407,8913,8227,5219,3663
33,257893,34123,73382,75777,9172,8388,5370,3700
34,248644,34851,76237,81443,9249,8521,5666,3869
35,239494,35314,79084,87283,9150,8687,5840,3891
36,230119,35855,81949,93252,9375,8834,5969,3937
37,220987,36030,84575,99583,9132,8957,6331,4000
38,211828,36015,87089,106243,9159,9174,6660,4268
39,202538,36350,89298,112989,9290,8955,6746,4151
40,193681,36225,91456,119813,8857,8982,6824,4107
41,184700,36091,93652,126732,8981,9115,6919,4280
42,176276,35561,95336,134002,8424,8954,7270,4163
43,167881,35211,96649,141434,8395,8745,7432,4184
44,159770,34520,97992,148893,8111,8802,7459,4135
45,151974,33794,99041,156366,7796,8522,7473,4021
46,144479,32776,100033,163887,7495,8513,7521,4091
47,137160,31899,100503,171613,7319,8196,7726,3953
48,130093,30992,100684,179406,7067,7974,7793,3873
