Day,Susceptible,Infected,Recovered,New_Infections,New_Recoveries,Reported_Cases,Beta_Effective,Season_Index,Intervention_Flag,Reporting_Prob
0,9990,10,0,0,0,0,0.3,1.0,0,0.6
1,9989,11,0,1,0,1,0.30783963474507403,1.0261321158169134,0,0.6013966480446927
2,9982,18,0,7,0,3,0.315593376811332,1.05197792270444,0,0.6027932960893855
3,9979,20,1,3,1,1,0.32317627457812104,1.0772542485937369,0,0.6041899441340782
4,9972,23,5,7,4,5,0.330505248230685,1.10168416076895,0,0.605586592178771
5,9960,31,9,12,4,6,0.33749999999999997,1.125,0,0.6069832402234636
6,9955,32,13,5,4,2,0.3440838939219355,1.1469463130731183,0,0.6083798882681564
7,9944,41,15,11,2,8,0.35018479547691433,1.1672826515897146,0,0.6097765363128491
8,9926,58,16,18,1,11,0.35573586191080453,1.1857862063693485,0,0.6111731843575419
9,9909,71,20,17,4,6,0.36067627457812107,1.2022542485937369,0,0.6125698324022346
10,9886,86,28,23,8,12,0.36495190528383287,1.2165063509461096,0,0.6139664804469274
11,9850,112,38,36,10,23,0.36851590932319506,1.2283863644106503,0,0.6153631284916201
12,9805,139,56,45,18,27,0.3713292387221365,1.2377641290737884,0,0.6167597765363129
13,9762,164,74,43,18,28,0.37336107005503544,1.2445369001834514,0,0.6181564245810056
14,9710,196,94,52,20,32,0.3745891421526205,1.2486304738420684,0,0.6195530726256983
15,9635,250,115,75,21,47,0.375,1.25,0,0.620949720670391
16,9547,316,137,88,22,51,0.3745891421526205,1.2486304738420684,0,0.6223463687150838
17,9433,395,172,114,35,73,0.37336107005503544,1.2445369001834514,0,0.6237430167597765
18,9288,498,214,145,42,93,0.3713292387221365,1.2377641290737884,0,0.6251396648044693
19,9119,632,249,169,35,112,0.36851590932319506,1.2283863644106503,0,0.626536312849162
20,8915,771,314,204,65,126,0.36495190528383287,1.2165063509461096,0,0.6279329608938548
21,8676,951,373,239,59,155,0.36067627457812107,1.2022542485937369,0,0.6293296089385475
22,8361,1180,459,315,86,188,0.35573586191080453,1.1857862063693485,0,0.6307262569832403
23,8050,1375,575,311,116,201,0.35018479547691433,1.1672826515897146,0,0.6321229050279329
24,7694,1591,715,356,140,218,0.3440838939219355,1.1469463130731183,0,0.6335195530726256
25,7278,1856,866,416,151,266,0.33749999999999997,1.125,0,0.6349162011173184
26,6885,2107,1008,393,142,239,0.330505248230685,1.10168416076895,0,0.6363128491620111
27,6426,2384,1190,459,182,284,0.32317627457812104,1.0772542485937369,0,0.6377094972067039
28,5920,2649,1431,506,241,317,0.315593376811332,1.05197792270444,0,0.6391061452513966
29,5462,2891,1647,458,216,298,0.307839634745074,1.0261321158169132,0,0.6405027932960894
30,5030,3060,1910,432,263,263,0.30000000000000004,1.0000000000000002,0,0.6418994413407821
31,4608,3187,2205,422,295,279,0.292160365254926,0.9738678841830868,0,0.6432960893854749
32,4190,3307,2503,418,298,248,0.28440662318866805,0.9480220772955602,0,0.6446927374301675
33,3839,3319,2842,351,339,226,0.27682372542187894,0.9227457514062631,0,0.6460893854748603
34,3518,3322,3160,321,318,194,0.269494751769315,0.89831583923105,0,0.647486033519553
35,3223,3286,3491,295,331,205,0.2625,0.8750000000000001,0,0.6488826815642458
36,2960,3226,3814,263,323,185,0.25591610607806453,0.8530536869268818,0,0.6502793296089385
37,2716,3153,4131,244,317,160,0.24981520452308562,0.8327173484102854,0,0.6516759776536313
38,2510,3079,4411,206,280,138,0.24426413808919545,0.8142137936306515,0,0.653072625698324
39,2338,2945,4717,172,306,119,0.23932372542187894,0.7977457514062631,0,0.6544692737430168
40,2171,2855,4974,167,257,109,0.2350480947161671,0.7834936490538904,0,0.6558659217877095
41,2038,2711,5251,133,277,84,0.23148409067680498,0.7716136355893499,0,0.6572625698324022
42,1921,2588,5491,117,240,85,0.22867076127786345,0.7622358709262116,0,0.6586592178770949
43,1825,2425,5750,96,259,65,0.22663892994496457,0.7554630998165486,0,0.6600558659217877
44,1742,2275,5983,83,233,56,0.22541085784737946,0.7513695261579316,0,0.6614525139664804
45,1653,2145,6202,89,219,53,0.22499999999999998,0.75,0,0.6628491620111732
46,1573,2008,6419,80,217,56,0.22541085784737946,0.7513695261579316,0,0.6642458100558659
47,1511,1871,6618,62,199,43,0.22663892994496457,0.7554630998165486,0,0.6656424581005587
48,1437,1785,6778,74,160,51,0.22867076127786345,0.7622358709262116,0,0.6670391061452514
49,1373,1685,6942,64,164,47,0.2314840906768049,0.7716136355893497,0,0.6684357541899442
50,1332,1560,7108,41,166,25,0.2350480947161671,0.7834936490538904,0,0.6698324022346368
51,1285,1473,7242,47,134,35,0.23932372542187894,0.7977457514062631,0,0.6712290502793296
52,1235,1402,7363,50,121,31,0.24426413808919545,0.8142137936306515,0,0.6726256983240223
53,1186,1321,7493,49,130,33,0.24981520452308562,0.8327173484102854,0,0.674022346368715
54,1145,1240,7615,41,122,32,0.2559161060780645,0.8530536869268817,0,0.6754189944134078
55,1114,1158,7728,31,113,18,0.2625,0.8750000000000001,0,0.6768156424581006
56,1082,1094,7824,32,96,16,0.269494751769315,0.89831583923105,0,0.6782122905027933
57,1048,1026,7926,34,102,23,0.27682372542187894,0.9227457514062631,0,0.679608938547486
