Day,Reported_Cases
0,1
1,85
2,113
3,135
4,168
5,192
6,270
7,318
8,366
9,466
10,562
11,640
12,844
13,1007
14,1223
15,1467
16,1721
17,2046
18,2468
19,2938
20,3471
21,4062
22,4819
23,5644
24,6384
25,7366
26,7781
27,6621
28,6051
29,6144
30,6108
31,6183
32,6136
33,6264
34,6123
35,6156
36,5976
37,6009
38,5772
39,5673
40,5598
41,5260
42,5217
43,4902
44,4601
45,4579
46,4200
47,4202
48,3986
49,3655
50,3517
51,3250
52,3168
53,3079
54,2898
55,2617
56,2464
57,2347
58,2158
59,2108
60,1983
61,1853
62,1807
63,1623
64,1542
65,1491
66,1307
67,1297
68,1174
69,1219
70,1497
71,1599
72,1603
73,1434
74,1332
75,1184
76,1099
77,933
78,933
79,806
80,711
81,600
82,560
83,489
84,440
85,409
86,358
87,328
88,305
89,250
90,198
91,199
92,186
93,154
94,138
95,143
96,124
97,106
98,85
99,91
100,78
101,63
102,67
103,54
104,46
105,52
106,49
107,33
108,41
109,32
110,32
111,24
112,24
113,19
114,26
115,26
116,17
117,8
118,14
119,12
120,9
121,10
122,16
123,9
124,7
125,12
126,7
127,4
128,6
129,3
130,8
131,5
132,8
133,3
134,2
135,8
136,8
137,3
138,5
139,3
140,2
141,3
142,2
143,3
144,1
145,5
146,5
147,5
148,1
149,6
150,5
151,5
152,0
153,5
154,43
155,33
156,8
157,5
158,2
159,2
160,2
161,51
162,15
163,13
164,11
165,4
166,3
167,4
168,42
169,23
170,16
171,11
172,8
173,3
174,3
175,40
176,33
177,11
178,3
179,8
180,3
181,2
182,47
183,24
184,9
185,6
186,2
187,4
188,6
189,45
190,24
191,10
192,13
193,8
194,6
195,0
196,38
197,22
198,14
199,7
200,3
201,7
202,3
203,44
204,26
205,13
206,7
207,10
208,4
