Day,Susceptible,Exposed,Infected,Recovered,New_Exposed,New_Infections,New_Recoveries,Reported_Cases,Beta_Effective,Seasonality,Rt
0,725560,739,2451,189,739,0,189,0,0.5140333587803562,1.139059330511709,0.5121716830198603
1,724862,1264,2449,364,698,173,175,57,0.5173226714680501,1.1463174557234845,0.5149246199069585
2,724198,1607,2568,566,664,321,202,100,0.5204733839430543,1.1532633321110404,0.517562344766476
3,723514,1918,2743,764,684,373,198,110,0.5234791627523024,1.1598821368241266,0.5200744681062365
4,722763,2187,3015,974,751,482,210,161,0.5263340431042575,1.1661597449999292,0.5224168947779357
5,721966,2413,3338,1222,797,571,248,186,0.5290324504005076,1.1720827599062391,0.5245501762819963
6,721024,2776,3656,1483,942,579,261,184,0.5315692222032382,1.1776385415307544,0.5264842532464076
7,719987,3103,4094,1755,1037,710,272,248,0.5339396307685623,1.1828152335555038,0.5281419821621177
8,718850,3463,4553,2073,1137,777,318,278,0.5361394062980785,1.187601788658825,0.5295551516962801
9,717638,3781,5086,2434,1212,894,361,277,0.5381647610860433,1.1919879920909087,0.5307162032854631
10,716185,4331,5604,2819,1453,903,385,329,0.5400124147673813,1.1959644834725862,0.5316404106637647
11,714620,4804,6273,3242,1565,1092,423,393,0.5416796209027562,1.1995227767708532,0.5322020351445601
12,712845,5384,6951,3759,1775,1195,517,409,0.5431641951712639,1.20265527840849,0.5324944846596061
13,710861,6007,7798,4273,1984,1361,514,475,0.544464545479289,1.2053553034691387,0.5324434951651424
14,708674,6679,8704,4882,2187,1515,609,531,0.5455797043359106,1.207617089963251,0.5320490935509415
15,706250,7411,9701,5577,2424,1692,695,562,0.5465093638910766,1.2094358111244659,0.5313160318574598
16,703542,8157,10904,6336,2708,1962,759,650,0.5472539140827691,1.2108075857101699,0.530220055204833
17,700480,9185,12113,7161,3062,2034,825,709,0.5478144843934517,1.2117294862842662,0.52872805266166
18,697166,10096,13610,8067,3314,2403,906,811,0.5481929897740806,1.2121995454644707,0.5267906168787072
19,693389,11374,15070,9106,3777,2499,1039,870,0.5483921813554152,1.2122167601208036,0.5244888577875918
20,689281,12638,16840,10180,4108,2844,1074,961,0.5484157026304706,1.211781093516321,0.5216697359192461
21,684771,14054,18637,11477,4510,3094,1297,990,0.548268151857444,1.2108934753855123,0.5184395676187594
22,679659,15636,20735,12909,5112,3530,1432,1225,0.5479551514974195,1.2095557999502005,0.5147533566540402
23,674007,17390,23067,14475,5652,3898,1566,1312,0.5474834255627353,1.2077709218771768,0.5104707493144737
24,667859,19241,25588,16251,6148,4297,1776,1498,0.5468608858062004,1.2055426501861988,0.5056500819129992
25,661174,21189,28382,18194,6685,4737,1943,1607,0.5460967277228156,1.202875740121349,0.5003376338489667
26,653840,23199,31546,20354,7334,5324,2160,1829,0.545201537356832,1.1997758830031056,0.4945174853593593
27,645874,25418,34829,22818,7966,5747,2464,1993,0.5441874098978206,1.196249694082777,0.4881224575548722
28,637087,27964,38321,25567,8787,6241,2749,2114,0.5430680809965942,1.1923046984252224,0.4811836844311997
29,627512,30676,42285,28466,9575,6863,2899,2397,0.5418590716179077,1.187949314849984,0.47358060188827594
30,617335,33271,46605,31728,10177,7582,3262,2523,0.5405778470492719,1.183192837965102,0.4653600451582131
31,606194,36027,51471,35247,11141,8385,3519,2869,0.539243990375139,1.1780454183319526,0.4566831913208601
32,594266,38996,56504,39173,11928,8959,3926,3114,0.537879390266771,1.1725180408034388,0.44730664582821744
33,581307,42169,61926,43537,12959,9786,4364,3390,0.5365084422851548,1.1666225010817597,0.43738738901750324
34,567597,45130,67893,48319,13710,10749,4782,3742,0.5351582619922547,1.1603713805457887,0.42677267069525926
35,553019,48522,73746,53652,14578,11186,5333,3888,0.53385890694891,1.1537780194017762,0.4156955712446178
36,542789,46519,80272,59359,10230,12233,5707,4300,0.5326436030693814,1.146856488214678,0.4040969583543016
37,534603,43095,85668,65573,8186,11610,6214,4089,0.5315489687173548,1.1396215578808593,0.3958066905202277
38,525975,41076,89603,72285,8628,10647,6712,3788,0.5306152272753056,1.1320886681062587,0.38915257977287565
39,517157,39585,92859,79338,8818,10309,7053,3556,0.529886395609955,1.1242738944572774,0.3823461180303785
40,508158,38631,95506,86644,8999,9953,7306,3468,0.5294104318174843,1.1161939140547097,0.37559838434688597
41,498924,38177,97784,94054,9234,9688,7410,3338,0.5292393208249574,1.1078659699839273,0.3689433475116144
42,489744,37765,100046,101384,9180,9592,7330,3335,0.5294290708757537,1.099307834497266,0.3623689633256206
43,480471,37498,101986,108984,9273,9540,7600,3407,0.5300395877706611,1.090537771087144,0.3561117019025661
44,471340,37250,103574,116775,9131,9379,7791,3300,0.5311343872689401,1.081574495510848,0.3500905702472977
45,461991,37222,104900,124826,9349,9377,8051,3396,0.5327800998022935,1.0724371358501643,0.34450149085288756
46,452832,37022,106241,132844,9159,9359,8018,3249,0.5350457164539345,1.0631451916910883,0.33910423998478567
47,443768,36760,107457,140954,9064,9326,8110,3228,0.5380015222210667,1.0537184925107255,0.3342176853075635
48,434590,36689,108438,149222,9178,9249,8268,3255,0.5417176635599511,1.0441771553601877,0.3297902350164724
49,425273,36806,109437,157423,9317,9200,8201,3246,0.5462623041807259,1.0345415419337922,0.32567901398320254
50,416180,36588,110257,165914,9093,9311,8491,3318,0.5516993383985169,1.0248322151161804,0.3218689530108178
51,407251,36327,111132,174229,8929,9190,8315,3290,0.5580856574789971,1.0150698951000847,0.3186330940306514
52,398172,36364,111675,182728,9079,9042,8499,3222,0.5654680033039399,1.0052754151683942,0.3159213731375778
53,389150,36182,112329,191278,9022,9204,8550,3278,0.5738794960902863,0.9954696772348784,0.31347307074701924
54,379952,36220,112775,199992,9198,9160,8714,3331,0.5833359874378203,0.9856736072384502,0.3114186502731062
55,370869,36086,113405,208579,9083,9217,8587,3303,0.5938324620991157,0.9759081104861573,0.30952909864814915
56,361706,36129,113865,217239,9163,9120,8660,3174,0.6053397830462117,0.966194027040204,0.30798428949276346
57,352611,36445,113999,225884,9095,8779,8645,3068,0.617802132057446,0.9565520872442075,0.3065588999600386
58,343629,36461,114158,234691,8982,8966,8807,3141,0.6311355265350329,0.9470028674836005,0.305300346321221
59,334514,36513,114501,243411,9115,9063,8720,3257,0.6452277764986275,0.9375667462745874,0.30416670751660546
60,325520,36281,115011,252127,8994,9226,8716,3290,0.6599401712007835,0.9282638607753642,0.30285006897567407
61,316626,36079,115342,260892,8894,9096,8765,3338,0.6751110485688886,0.9191140638124073,0.3014822207758737
62,307758,35868,115479,269834,8868,9079,8942,3292,0.690561211385276,0.9101368815135422,0.2999560101957426
63,298873,35834,115548,278684,8885,8919,8850,3204,0.7061009348810697,0.901351471638202,0.29811577034172715
64,290031,35600,115727,287581,8842,9076,8897,3163,0.7215380963901241,0.8927765826938036,0.2958385481945754
65,281270,35444,115667,296558,8761,8917,8977,3206,0.736686789200191,0.884430513925488,0.2931136983458432
66,272478,35348,115508,305605,8792,8888,9047,3199,0.751375695239973,0.8763310762646093,0.28992747239501143
67,263980,34901,115699,314359,8498,8945,8754,3109,0.7654555053823354,0.8684955543193088,0.2861278998593408
68,255422,34829,115433,323255,8558,8630,8896,3142,0.7788047912191732,0.8609406694882911,0.2820385365387739
69,247057,34475,115308,332099,8365,8719,8844,3145,0.791333925806687,0.8536825442765156,0.27728533388581983
70,238950,33932,114958,341099,8107,8650,9000,3090,0.8029868851720651,0.8467366678889596,0.2721538165607203
71,231152,33224,114666,349897,7798,8506,8798,3025,0.8137409941545964,0.8401178631758734,0.26674853527282916
72,223317,32767,114111,358744,7835,8292,8847,2987,0.8236048718586616,0.8338402550000709,0.26117125485105525
73,215742,32212,113256,367729,7575,8130,8985,2936,0.8326149595066065,0.827917240093761,0.255079059992862
74,208500,31491,112536,376412,7242,7963,8683,2871,0.8408310691098265,0.8223614584692454,0.24885837705472227
75,201429,30640,111688,385182,7071,7922,8770,2839,0.8483313820968542,0.8171847664444963,0.24265006148277715
76,194662,29721,110808,393748,6767,7686,8566,2719,0.8552072696089993,0.812398211341175,0.23632093372706237
77,188058,28889,109785,402207,6604,7436,8459,2698,0.8615582213714738,0.8080120079090914,0.2300777520322192
78,181743,27831,108610,410755,6315,7373,8548,2677,0.8674870777571907,0.8040355165274138,0.22380183371840684
79,175709,27002,107188,419040,6034,6863,8285,2429,0.8730956757761784,0.8004772232291467,0.21768491931778927
80,169914,26130,105600,427295,5795,6667,8255,2438,0.8784809549067152,0.79734472159151,0.21175573004833603
81,164248,25249,104040,435402,5666,6547,8107,2392,0.8837315284855629,0.7946446965308614,0.2059957814454926
82,158929,24344,102370,443296,5319,6224,7894,2220,0.8889247120341334,0.7923829100367489,0.20029674101973188
83,153633,23626,100527,451153,5296,6014,7857,2213,0.8941240092199664,0.7905641888755341,0.19494393174369878
84,148801,22571,98645,458922,4832,5887,7769,2104,0.8993770841009866,0.7891924142898301,0.18955495530035693
85,144059,21625,96836,466419,4742,5688,7497,2066,0.9047142872381873,0.7882705137157338,0.18468265610061954
86,139634,20639,94789,473877,4425,5411,7458,1994,0.9101478430602795,0.7878004545355294,0.17987100172088585
87,135425,19757,92519,481238,4209,5091,7361,1935,0.9156718342721372,0.7877832398791964,0.1754041434286759
88,131439,18749,90421,488330,3986,4994,7092,1825,0.9212631228943519,0.7882189064836791,0.17115569124160954
89,127478,18035,88187,495239,3961,4675,6909,1709,0.9268833148001355,0.7891065246144877,0.16713142802623404
90,123806,17271,85859,502003,3672,4436,6764,1615,0.9324817982271597,0.7904442000497997,0.16307388502248044
91,120288,16478,83543,508630,3518,4311,6627,1582,0.937999768217486,0.7922290781228232,0.1593137413472651
92,117082,15511,81345,515001,3206,4173,6371,1514,0.9433750015644494,0.7944573498138013,0.155673783661163
93,113853,14914,78806,521366,3229,3826,6365,1386,0.9485469960996608,0.797124259878651,0.15235538144802308
94,110981,14126,76350,527482,2872,3660,6116,1357,0.9534619680451438,0.8002241169968944,0.14892124779692645
95,108136,13481,73958,533364,2845,3490,5882,1308,0.9580771462599076,0.8037503059172231,0.1458672944774128
96,104546,13671,71744,538978,3590,3400,5614,1241,0.9623638371589994,0.8076953015747776,0.14276390191089455
97,100324,14478,69733,544404,4222,3415,5426,1268,0.966308864062147,0.812050685150016,0.1385900967052678
98,95576,15549,68006,549808,4748,3677,5404,1422,0.9699141910426307,0.816807162034898,0.1334894570082831
99,91104,16112,66653,555070,4472,3909,5262,1465,0.9731947846660559,0.8219545816680472,0.1276019869141903
100,86792,16300,65586,560261,4312,4124,5191,1579,0.9761749978854036,0.8274819591965612,0.1220039633046823
101,82741,16265,64655,565278,4051,4086,5017,1489,0.9788839333885332,0.8333774989182403,0.1165519945381679
102,78995,15971,63702,570271,3746,4040,4993,1516,0.9813503300505726,0.8396286194542113,0.11139191024038285
103,75421,15607,62758,575153,3574,3938,4882,1425,0.9835975100137934,0.8462219805982238,0.10659230100672293
104,72175,14898,61997,579869,3246,3955,4716,1449,0.9856388411581752,0.8531435117853221,0.1019809161520933
105,69170,14134,60966,584669,3005,3769,4800,1354,0.9874740402856496,0.8603784421191407,0.09777352955132974
106,66242,13535,59763,589399,2928,3527,4730,1376,0.9890865000764307,0.8679113318937413,0.09385574541942016
107,63470,12901,58643,593925,2772,3406,4526,1249,0.9904416965561825,0.8757261055427226,0.0900059385809713
108,60875,12313,57261,598490,2595,3183,4565,1166,0.9914866417380148,0.8838060859452902,0.0863304846511324
109,58437,11679,55869,602954,2438,3072,4464,1121,0.9921502948449742,0.8921340300160727,0.0828562461312782
110,56132,11074,54521,607212,2305,2910,4258,1072,0.9923448317918403,0.9006921655027338,0.07955350850403088
111,53975,10388,53105,611471,2157,2843,4259,1074,0.9919676866536821,0.9094622289128561,0.07638654288938372
112,52004,9763,51641,615531,1971,2596,4060,950,0.9909043078942198,0.9184255044891521,0.0733724770091743
113,50041,9303,50053,619542,1963,2423,4011,856,0.9890316030267136,0.9275628641498357,0.07055953856742636
114,48228,8657,48706,623348,1813,2459,3806,921,0.9862220662835167,0.9368548083089115,0.06770324872025432
115,46564,8185,47090,627100,1664,2136,3752,816,0.9823485851233066,0.9462815074892743,0.06499406337612176
116,45075,7568,45519,630777,1489,2106,3677,794,0.9772898961413875,0.9558228446398122,0.06242844287920877
117,43699,7125,43821,634294,1376,1819,3517,676,0.9709366057857064,0.9654584580662074,0.06003927284147331
118,42406,6700,42127,637706,1293,1718,3412,640,0.9631976073281144,0.9751677848838195,0.05774251651047793
119,41121,6236,40645,640937,1285,1749,3231,681,0.9540066196238747,0.9849301048999151,0.05549930064349696
120,39961,5829,39228,643921,1160,1567,2984,588,0.943328458857712,0.9947245848316056,0.053215165544288304
121,38892,5456,37676,646915,1069,1442,2994,541,0.93116455201654,1.0045303227651214,0.051047161234524366
122,37968,5042,36074,649855,924,1338,2940,513,0.9175571355135052,1.0143263927615498,0.04895558080222246
123,37110,4600,34636,652593,858,1300,2738,509,0.9025915802875416,1.0240918895138424,0.047012983418855875
124,36274,4302,33085,655278,836,1134,2685,418,0.8863963662990706,1.033805972959796,0.04512609306589236
