Day,Susceptible,Exposed,Infected,Recovered,New_Exposed,New_Infections,New_Recoveries,Reported_Cases
0,261058,1420,4265,350,1420,0,350,0
1,259767,2360,4305,661,1291,351,311,181
2,258407,3146,4553,987,1360,574,326,316
3,256961,3804,4970,1358,1446,788,371,420
4,255432,4393,5545,1723,1529,940,365,540
5,253745,4990,6210,2148,1687,1090,425,603
6,251913,5563,6992,2625,1832,1259,477,693
7,249890,6272,7803,3128,2023,1314,503,759
8,247634,7001,8702,3756,2256,1527,628,850
9,245138,7704,9843,4408,2496,1793,652,993
10,242331,8569,11005,5188,2807,1942,780,1082
11,239282,9429,12346,6036,3049,2189,848,1233
12,235730,10613,13770,6980,3552,2368,944,1364
13,233510,10239,15328,8016,2220,2594,1036,1513
14,231370,9842,16682,9199,2140,2537,1183,1445
15,229164,9535,17876,10518,2206,2513,1319,1424
16,226729,9566,18893,11905,2435,2404,1387,1356
17,224183,9727,19872,13311,2546,2385,1406,1363
18,221562,9909,20816,14806,2621,2439,1495,1427
19,218900,10077,21698,16418,2662,2494,1612,1494
20,216157,10326,22517,18093,2743,2494,1675,1500
21,213330,10536,23423,19804,2827,2617,1711,1561
22,210422,10800,24186,21685,2908,2644,1881,1531
23,207335,11177,25044,23537,3087,2710,1852,1612
24,204286,11502,25851,25454,3049,2724,1917,1642
25,201163,11683,26835,27412,3123,2942,1958,1785
26,197954,11994,27666,29479,3209,2898,2067,1767
27,194765,12216,28550,31562,3189,2967,2083,1783
28,191439,12421,29463,33770,3326,3121,2208,1877
29,188144,12672,30177,36100,3295,3044,2330,1859
30,184705,12901,31047,38440,3439,3210,2340,1956
31,181268,13108,31951,40766,3437,3230,2326,1985
32,177899,13228,32612,43354,3369,3249,2588,2029
33,174409,13479,33342,45863,3490,3239,2509,2045
34,170951,13546,34206,48390,3458,3391,2527,2106
35,167591,13533,34976,50993,3360,3373,2603,2076
36,164057,13774,35539,53723,3534,3293,2730,2066
37,160468,13934,36292,56399,3589,3429,2676,2154
38,156941,13911,37060,59181,3527,3550,2782,2257
39,153369,13970,37656,62098,3572,3513,2917,2198
40,149797,14087,38142,65067,3572,3455,2969,2217
41,146259,14123,38759,67952,3538,3502,2885,2194
42,142736,14066,39356,70935,3523,3580,2983,2285
43,139249,13981,39942,73921,3487,3572,2986,2289
44,135776,14005,40366,76946,3473,3449,3025,2245
45,132322,14015,40727,80029,3454,3444,3083,2184
46,128807,14068,40985,83233,3515,3462,3204,2214
47,125278,13984,41487,86344,3529,3613,3111,2349
48,121765,14032,41795,89501,3513,3465,3157,2234
49,118380,13990,42024,92699,3385,3427,3198,2290
50,114890,14096,42160,95947,3490,3384,3248,2247
51,111494,13948,42454,99197,3396,3544,3250,2313
52,108002,14026,42624,102441,3492,3414,3244,2243
53,104569,14012,42873,105639,3433,3447,3198,2289
54,101145,13888,43169,108891,3424,3548,3252,2337
55,97789,13739,43359,112206,3356,3505,3315,2356
56,94399,13577,43543,115574,3390,3552,3368,2344
57,91000,13556,43704,118833,3399,3420,3259,2322
58,87537,13573,43921,122062,3463,3446,3229,2349
59,84079,13624,44020,125370,3458,3407,3308,2285
60,80731,13485,44146,128731,3348,3487,3361,2351
61,77346,13416,44205,132126,3385,3454,3395,2331
62,74016,13368,44162,135547,3330,3378,3421,2304
63,70674,13426,44031,138962,3342,3284,3415,2227
64,67388,13358,43959,142388,3286,3354,3426,2383
65,64263,13192,43811,145827,3125,3291,3439,2244
66,61288,12874,43693,149238,2975,3293,3411,2276
67,58289,12633,43477,152694,2999,3240,3456,2308
68,55315,12461,43241,156076,2974,3146,3382,2216
69,52435,12242,42972,159444,2880,3099,3368,2167
70,49752,11890,42737,162714,2683,3035,3270,2126
71,47048,11568,42565,165912,2704,3026,3198,2125
72,44515,11267,42113,169198,2533,2834,3286,2071
73,42212,10728,41639,172514,2303,2842,3316,2046
74,39856,10395,41065,175777,2356,2689,3263,1958
75,37678,9983,40440,178992,2178,2590,3215,1842
76,35722,9343,39944,182084,1956,2596,3092,1883
77,33744,9027,39222,185100,1978,2294,3016,1639
78,31941,8555,38524,188073,1803,2275,2973,1669
79,30203,8117,37731,191042,1738,2176,2969,1599
80,28575,7782,36817,193919,1628,1963,2877,1431
81,27085,7387,35836,196785,1490,1885,2866,1373
82,25730,6892,34930,199541,1355,1850,2756,1379
83,24437,6503,33818,202335,1293,1682,2794,1241
84,23226,6062,32856,204949,1211,1652,2614,1228
