Day,Reported_Cases
0,0
1,40
2,65
3,65
4,76
5,85
6,114
7,117
8,114
9,131
10,145
11,187
12,215
13,197
14,235
15,269
16,269
17,354
18,349
19,411
20,472
21,486
22,577
23,558
24,677
25,674
26,725
27,669
28,739
29,644
30,615
31,571
32,557
33,554
34,549
35,550
36,503
37,505
38,516
39,479
40,495
41,471
42,407
43,397
44,414
45,365
46,329
47,351
48,362
49,337
50,281
51,259
52,244
53,241
54,221
55,211
56,244
57,229
58,296
59,299
60,328
61,328
62,350
63,345
64,367
65,403
66,402
67,393
68,427
69,488
70,513
71,464
72,429
73,429
74,388
75,412
76,423
77,404
78,385
79,383
80,424
81,408
82,454
83,413
84,439
85,451
86,408
87,406
88,396
89,383
90,416
91,413
92,353
93,335
94,344
95,316
96,324
97,281
98,285
99,309
100,337
101,285
102,310
103,278
104,279
105,269
106,198
107,196
108,188
109,179
110,160
111,142
112,117
113,98
114,107
115,68
116,75
117,66
118,76
119,65
120,47
121,58
122,45
123,39
124,30
125,27
126,23
127,21
128,28
129,17
130,14
131,22
132,15
133,16
134,17
135,14
136,23
137,12
138,11
139,13
140,7
141,12
142,12
143,13
144,14
145,13
146,15
147,8
148,12
149,13
150,8
151,13
152,17
153,11
154,11
155,6
156,3
157,9
158,7
159,7
160,4
161,8
162,6
163,10
164,4
165,10
166,6
167,9
168,4
169,4
170,1
171,8
172,2
173,5
174,1
