Day,Susceptible,Exposed,Infected,Recovered,New_Exposed,New_Infections,New_Recoveries,Reported_Cases,Beta_Effective,Seasonality,Rt
0,117567,285,2053,167,285,0,167,0,0.2648471636207259,0.7161637037562736,0.2599504291344342
1,117292,464,1972,344,275,96,177,40,0.27658430713734866,0.7478819058497426,0.2708140718670187
2,117021,573,1980,498,271,162,154,65,0.28914265671464295,0.7818157308198139,0.28244820184034497
3,116702,699,2017,654,319,193,156,65,0.30241233589798805,0.8176669669925188,0.2947281127916455
4,116386,808,2066,812,316,207,158,76,0.31627730364393963,0.8551205524152968,0.30740050877685926
5,116025,921,2147,979,361,248,167,85,0.33061638723765746,0.893847343632765,0.3204670434825938
6,115663,971,2290,1148,362,312,169,114,0.3453043618769613,0.9335070082112344,0.333665955316597
7,115270,1032,2436,1334,393,332,186,117,0.3602130675472082,0.9737510155923788,0.34698617522580405
8,114796,1178,2548,1550,474,328,216,114,0.3752125534769908,1.0142256999923116,0.36020680124669135
9,114305,1273,2750,1744,491,396,194,131,0.3901722402120749,1.0545753684292096,0.37302795395583777
10,113730,1439,2955,1948,575,409,204,145,0.40496208917562454,1.0944454265660288,0.38551195618645284
11,113088,1589,3244,2151,642,492,203,187,0.41945376949744967,1.1334854948982864,0.39729893068279826
12,112434,1666,3555,2417,654,577,266,215,0.4335218118939173,1.1713524879017465,0.40830597194566026
13,111671,1886,3855,2660,763,543,243,197,0.4470447394626798,1.2077136290803412,0.4186074041970396
14,110790,2153,4178,2951,881,614,291,235,0.45990616542128365,1.2422493754179837,0.42772820806482914
15,109860,2374,4559,3279,930,709,328,269,0.471995848064161,1.2746562255340854,0.4355088614083916
16,108801,2658,5014,3599,1059,775,320,269,0.48321069353613993,1.3046493868645985,0.44211412145946044
17,107576,3035,5469,3992,1225,848,393,354,0.4934556974196462,1.3319652784293097,0.44713566306012165
18,106317,3341,5994,4420,1259,953,428,349,0.5026448166041407,1.3563638471909734,0.4503341227847212
19,104912,3636,6640,4884,1405,1110,464,411,0.510701763446841,1.3776306776500313,0.45219767626405655
20,103380,3943,7356,5393,1532,1225,509,472,0.5175607148402506,1.395578876135735,0.4522147521097372
21,101706,4324,8079,5963,1674,1293,570,486,0.5231669294715307,1.4100507132344438,0.4504380469115767
22,99857,4683,8921,6611,1849,1490,648,577,0.5274772672889437,1.4209190099213806,0.44679528072231084
23,97795,5220,9771,7286,2062,1525,675,558,0.5304606059797806,1.4280882552144791,0.441153680552693
24,95613,5654,10790,8015,2182,1748,729,677,0.5320981501119056,1.431495445528324,0.43337779490800366
25,93465,5962,11824,8821,2148,1840,806,674,0.5323836294982217,1.4311106383519279,0.4239356050304273
26,91413,5981,12983,9695,2052,2033,874,725,0.5313233843127487,1.426937215384593,0.4135863491471039
27,90021,5438,13885,10728,1392,1935,1033,669,0.528936335523703,1.4190118528174167,0.40268886367536366
28,88592,5010,14681,11789,1429,1857,1061,739,0.5252538403205588,1.4074041990216053,0.39379602204924563
