Day,Susceptible,Infected,Recovered,New_Infections,New_Recoveries,Reported_Cases,Beta_Effective,Season_Index,Intervention_Flag,Quarantine_Fraction,Reporting_Prob,MultiWave_Flag
0,394292,5376,386,762,386,247,0.29827667970321703,1.0,0,0.5,0.3297931377962632,0
1,393489,5769,796,803,410,197,0.3002316191675068,1.0261321158169134,0,0.5,0.24928947505718968,0
2,392576,6252,1226,913,430,357,0.30372295700491336,1.05197792270444,0,0.5,0.40358220091103336,0
3,391625,6688,1741,951,515,232,0.31192362910553906,1.0772542485937369,0,0.5,0.24866516112162604,0
4,390570,7209,2275,1055,534,372,0.3206300400478298,1.10168416076895,0,0.5,0.34766689431601805,0
5,389577,7666,2811,993,536,280,0.2938110467642599,1.125,0,0.5,0.2971655663823795,0
6,388413,8266,3375,1164,564,359,0.3091084919264019,1.1469463130731183,0,0.5,0.2853885060399863,0
7,386978,9067,4009,1435,634,354,0.3592162313163297,1.1672826515897146,0,0.5,0.24425937165583886,0
8,385563,9773,4718,1415,709,441,0.32642317112667574,1.1857862063693485,0,0.5,0.3136419481234261,0
9,383848,10758,5448,1715,730,522,0.363451508792391,1.2022542485937369,0,0.5,0.31675394471659574,0
10,381905,11882,6267,1943,819,604,0.36557450913787204,1.2165063509461096,0,0.5,0.3033491334400962,0
11,379852,13007,7195,2053,928,850,0.35377004079113467,1.2283863644106503,0,0.5,0.41143437744805955,0
12,377811,14037,8206,2041,1011,649,0.3539570132424948,1.2377641290737884,0,0.5,0.329569561813152,0
13,375390,15380,9284,2421,1078,869,0.3552689246387156,1.2445369001834514,0,0.5,0.35573207430337433,0
14,372704,16873,10477,2686,1193,1054,0.3741539748556753,1.2486304738420684,0,0.5,0.3930502340691471,0
15,369896,18357,11801,2808,1274,993,0.36487202075820085,1.25,0,0.5,0.35826201961406967,0
16,366894,19963,13197,3002,1396,1309,0.3547549082443898,1.2486304738420684,0,0.5,0.437484887591968,0
17,363187,22150,14717,3707,1520,1252,0.4085068744842481,1.2445369001834514,0,0.5,0.32852003599277085,0
18,359234,24418,16402,3953,1685,1216,0.3954663150964113,1.2377641290737884,0,0.5,0.3126653744481237,0
19,355242,26559,18253,3992,1851,1545,0.3559911475927131,1.2283863644106503,0,0.5,0.3908578608728132,0
20,351243,28493,20318,3999,2065,1149,0.3369955333474198,1.2165063509461096,0,0.5,0.2798123527275122,0
21,347251,30264,22539,3992,2221,1400,0.32226173437516836,1.2022542485937369,0,0.5,0.35038938580989465,0
22,342949,32240,24865,4302,2326,1337,0.33287875507367715,1.1857862063693485,0,0.5,0.3218459837489501,0
23,337536,35168,27350,5413,2485,2239,0.3831637006907434,1.1672826515897146,0,0.5,0.41143672623639543,0
24,332377,37582,30095,5159,2745,2218,0.3454949764961178,1.1469463130731183,0,0.5,0.4253117283330219,0
25,326639,40439,32976,5738,2881,1606,0.373630117885647,1.125,0,0.5,0.2700942984926479,0
26,321232,42703,36119,5407,3143,2451,0.3269311260507325,1.10168416076895,0,0.5,0.4496028202771989,0
27,315728,45032,39294,5504,3175,1769,0.3267501282325898,1.0772542485937369,0,0.5,0.3320441070138501,0
28,309587,47788,42679,6141,3385,1698,0.33797459161323345,1.05197792270444,0,0.5,0.2791619714117613,0
29,303519,50162,46373,6068,3694,2778,0.3279873726281171,1.0261321158169132,0,0.5,0.45232226395841324,0
