Day,Susceptible,Exposed,Infected,Recovered,New_Exposed,New_Infections,New_Recoveries,Reported_Cases,Beta_Effective,Seasonality,Rt
0,849506,653,2424,212,653,0,212,0,0.4845846448949908,1.0,0.48308678770311797
1,848883,986,2509,417,623,290,205,54,0.48459764167300046,1.0,0.48272867944472464
2,848204,1168,2816,607,679,497,190,119,0.484612633734121,1.0,0.4823895852603754
3,847480,1316,3175,824,724,576,217,141,0.4846299272965137,1.0,0.482020934518392
4,846634,1511,3558,1092,846,651,268,168,0.4846498755407522,1.0,0.48162932067293623
5,845799,1557,4076,1363,835,789,271,184,0.4846728858011238,1.0,0.4811713764707211
6,844798,1758,4561,1678,1001,800,315,185,0.4846994278544918,1.0,0.4807231414113607
7,843733,1917,5110,2035,1065,906,357,210,0.4847300434730402,1.0,0.48018453586845306
8,842378,2335,5667,2415,1355,937,380,216,0.4847653574320088,1.0,0.47961412686774796
9,840983,2547,6377,2888,1395,1183,473,296,0.48480609019191384,1.0,0.47888412179208834
10,839465,2755,7189,3386,1518,1310,498,311,0.484853072507134,1.0,0.4781374087280848
11,837698,3134,8023,3940,1767,1388,554,335,0.48490726224971237,1.0,0.4773276988073978
12,835775,3493,8948,4579,1923,1564,639,375,0.48496976377926676,1.0,0.47638436104616494
13,833534,3968,10032,5261,2241,1766,682,464,0.48504185023767515,1.0,0.4753614319764925
14,831029,4418,11310,6038,2505,2055,777,497,0.4851249892012965,1.0,0.47416808582239983
15,828192,5079,12648,6876,2837,2176,838,531,0.4852208721845641,1.0,0.47283651544704897
16,825062,5660,14285,7788,3130,2549,912,614,0.48533144855749694,1.0,0.4713297135228636
17,821662,6229,16050,8854,3400,2831,1066,727,0.4854589645165967,1.0,0.4696717783077906
18,817691,7014,18052,10038,3971,3186,1184,744,0.48560600783425706,1.0,0.4678779819406907
19,813202,7967,20151,11475,4489,3536,1437,849,0.4857755592065683,1.0,0.4657793523451451
20,808319,8842,22587,13047,4883,4008,1572,957,0.4859710511233097,1.0,0.46340870984888244
21,802967,9777,25173,14878,5352,4417,1831,1063,0.486196435296724,1.0,0.46083972863655703
22,796919,10965,28162,16749,6048,4860,1871,1242,0.4864562598064439,1.0,0.4580330836461293
23,790112,12307,31550,18826,6807,5465,2077,1269,0.4867557572449807,1.0,0.45486302254107114
24,782616,13668,35204,21307,7496,6135,2481,1496,0.4871009452786261,1.0,0.4512975592914895
25,774423,15002,39324,24046,8193,6859,2739,1738,0.48749874116797703,1.0,0.44738104095112835
26,765156,16852,43700,27087,9267,7417,3041,1846,0.48795709191393805,1.0,0.443113755347144
27,755166,18452,48681,30496,9990,8390,3409,2115,0.48848512179947434,1.0,0.4382850765489931
28,744112,20386,54107,34190,11054,9120,3694,2289,0.4890932991712264,1.0,0.43310130847617345
29,732251,22103,60070,38371,11861,10144,4181,2499,0.4897936243300487,1.0,0.427372713709017
30,719277,24032,66440,43046,12974,11045,4675,2797,0.49059984035085685,1.0,0.42125273212994363
31,704877,26460,73197,48261,14400,11972,5215,2967,0.4915276684970044,1.0,0.414571552147374
32,689316,28937,80707,53835,15561,13084,5574,3288,0.49259506958975274,1.0,0.40715404624466156
33,672804,31110,88851,60030,16512,14339,6195,3580,0.49382253218379385,1.0,0.3991577959472136
34,662410,25940,97684,66761,10394,15564,6731,3843,0.4952333876149983,1.0,0.3907093781282973
35,652581,22801,103055,74358,9829,12968,7597,3255,0.49685415083916373,1.0,0.3859323261245322
36,642454,21368,106951,82022,10127,11560,7664,2898,0.4987148843641817,1.0,0.38162965068188964
37,631913,21285,109626,89971,10541,10624,7949,2606,0.5008495803667888,1.0,0.37731555216079476
38,621165,21382,111916,98332,10748,10651,8361,2669,0.5032965531350029,1.0,0.37293796842289073
39,610561,21195,114275,106764,10604,10791,8432,2776,0.5060988301319896,1.0,0.36863593222162105
40,599635,21421,116132,115607,10926,10700,8843,2775,0.5093045250787057,1.0,0.36463801984835703
41,588852,21457,117784,124702,10783,10747,9095,2658,0.5129671703624458,1.0,0.3606881714835162
42,577691,21847,119621,133636,11161,10771,8934,2815,0.5171459787090654,1.0,0.35708751089627705
43,566819,21732,121367,142877,10872,10987,9241,2827,0.5219059954213733,1.0,0.35354381346158054
