Day,Reported_Cases
0,0
1,54
2,119
3,141
4,168
5,184
6,185
7,210
8,216
9,296
10,311
11,335
12,375
13,464
14,497
15,531
16,614
17,727
18,744
19,849
20,957
21,1063
22,1242
23,1269
24,1496
25,1738
26,1846
27,2115
28,2289
29,2499
30,2797
31,2967
32,3288
33,3580
34,3843
35,3255
36,2898
37,2606
38,2669
39,2776
40,2775
41,2658
42,2815
43,2827
44,2749
45,2799
46,2911
47,2815
48,2893
49,2864
50,3029
51,2888
52,3027
53,3032
54,3078
55,3036
56,3098
57,3159
58,3117
59,3207
60,3290
61,3396
62,3264
63,3318
64,3318
65,3369
66,3449
67,3335
68,3419
69,3398
70,3276
71,3258
72,3280
73,3211
74,3086
75,3052
76,2786
77,2717
78,2641
79,2552
80,2384
81,2331
82,2133
83,1978
84,1937
85,1775
86,1686
87,1604
88,1506
89,1325
90,1221
91,1232
92,1088
93,1013
94,989
95,924
96,821
97,752
98,846
99,999
100,1014
101,952
102,905
103,864
104,777
105,726
106,663
107,626
108,589
109,528
110,473
111,434
112,386
113,341
114,343
115,296
116,262
117,241
118,222
119,219
120,161
121,158
122,144
123,136
124,139
125,127
126,86
127,90
128,85
129,80
130,72
131,46
132,55
133,44
134,47
135,39
136,37
137,41
138,32
139,30
140,33
141,19
142,16
143,18
144,16
145,10
146,12
147,11
148,10
149,13
150,10
151,7
152,11
153,8
154,6
155,9
156,9
157,6
158,4
159,4
160,4
161,3
162,3
163,6
164,7
165,3
166,1
167,2
168,3
169,3
170,3
171,3
172,2
173,1
174,1
175,1
176,1
177,2
178,3
179,0
180,1
181,2
182,28
183,12
184,6
185,3
186,4
187,2
188,1
189,35
190,7
191,9
192,5
193,4
194,1
195,1
196,25
197,12
198,7
199,4
200,1
201,3
202,1
203,29
