Day,Reported_Cases
0,0
1,4
2,9
3,12
4,18
5,17
6,12
7,24
8,17
9,28
10,30
11,39
12,24
13,28
14,30
15,31
16,21
17,30
18,19
19,20
20,29
21,25
22,27
23,28
24,28
25,25
26,19
27,27
28,30
29,24
30,28
31,32
32,47
33,27
34,27
35,46
36,32
37,39
38,41
39,54
40,57
41,60
42,56
43,66
44,66
45,62
46,55
47,69
48,72
49,96
50,97
51,100
52,123
53,114
54,138
55,147
56,177
57,177
58,197
59,203
60,247
61,287
62,344
63,378
64,470
65,484
66,627
67,681
68,784
69,939
70,1087
71,1288
72,1411
73,1596
74,1972
75,2315
76,2420
77,2457
78,2542
79,2519
80,2586
81,2571
82,2751
83,2826
84,2860
85,2957
86,2940
87,3008
88,3020
89,2927
90,2951
91,2927
92,2845
93,2711
94,2615
95,2449
96,2470
97,2139
98,2094
99,1929
100,1858
101,1604
102,1487
103,1426
104,1255
105,1167
106,1084
107,951
108,845
109,719
110,681
111,609
112,508
113,467
114,408
115,357
116,393
117,315
118,270
119,263
120,237
121,192
122,170
123,148
124,119
125,154
126,130
127,136
128,109
129,106
130,84
131,81
132,85
133,75
134,68
135,65
136,65
137,56
138,47
139,32
140,35
141,18
142,24
143,24
144,32
145,15
146,16
147,14
148,17
149,16
150,11
151,24
152,14
153,12
154,11
155,10
156,7
157,10
158,4
159,7
160,10
161,5
162,6
163,9
164,6
165,8
166,3
167,7
168,3
169,5
170,5
171,7
172,3
173,2
174,6
175,4
176,4
177,6
178,9
179,2
180,4
181,0
182,5
183,5
184,5
185,2
186,1
187,0
188,3
189,4
190,4
191,0
192,6
193,4
194,4
195,2
196,0
197,4
198,1
199,2
200,2
201,3
202,5
203,2
204,3
205,1
206,3
207,3
208,2
209,0
210,4
211,3
212,2
213,4
214,6
215,3
216,3
217,3
218,3
219,2
220,2
221,1
222,2
223,5
224,2
225,1
226,3
227,1
228,5
229,2
230,2
231,12
232,7
233,6
234,3
235,6
236,3
237,4
238,5
239,5
240,7
241,3
242,4
243,5
244,2
245,3
246,3
247,1
248,1
249,4
250,4
251,6
252,5
253,3
254,6
255,5
256,11
257,5
258,4
259,4
260,3
261,2
262,3
263,1
264,3
265,1
266,2
267,3
268,0
269,3
270,1
271,0
272,5
273,6
274,12
275,4
276,4
277,4
278,3
279,5
280,5
281,3
282,4
283,6
284,5
285,5
286,3
287,2
288,2
289,3
290,5
291,2
292,2
293,0
294,4
295,8
296,6
297,3
298,2
299,8
300,1
301,5
302,9
303,2
304,6
305,2
306,6
