Day,Susceptible,Exposed,Infected,Recovered,New_Exposed,New_Infections,New_Recoveries,Reported_Cases,Beta_Effective,Seasonality,Rt
0,251623,90,622,55,83,0,55,0,0.23331303634968234,0.7309746411604321,0.23268719021262582
1,251533,174,589,100,90,12,45,4,0.2274918253323807,0.7127175494250912,0.2268067800351435
2,251477,207,573,144,56,28,44,9,0.22189919587054316,0.6951746871267215,0.22115186218923355
3,251401,250,554,196,76,33,52,12,0.2165491589288683,0.6783896685850882,0.21577179461356358
4,251338,275,552,240,63,42,44,18,0.2114551394245335,0.6624042240009693,0.2106323861213598
5,251278,288,563,281,60,52,41,17,0.20662994596627351,0.6472580957083021,0.20577438797094597
6,251228,299,560,329,50,45,48,12,0.2020857427355687,0.6329889393684784,0.20120095752530176
7,251161,308,570,377,67,58,48,24,0.19783402370014344,0.6196322303524386,0.19692866043330826
8,251111,314,576,422,50,51,45,17,0.19388558936715064,0.6072211755433086,0.19294682490913778
9,251050,322,594,466,61,62,44,28,0.1902505263042494,0.5957866307788554,0.18929167143106457
10,250986,326,615,507,64,62,41,30,0.18693818968187836,0.5853570241390161,0.18595084660866842
11,250913,320,658,546,73,82,39,39,0.18395718912013995,0.575958285269208,0.18293894227625254
12,250856,315,674,593,57,63,47,24,0.18131537815966128,0.5676137809151471,0.18025931017610175
13,250791,318,687,643,65,63,50,28,0.1790198477185112,0.5603442568294358,0.17793671887280382
14,250730,324,701,692,61,63,49,30,0.17707692394779317,0.5541677861943528,0.17595994513810756
15,250672,311,713,757,58,77,65,31,0.17549217095803135,0.5490997246890753,0.1743427727870229
16,250601,322,734,797,71,61,40,21,0.17427039895821606,0.54515267231304,0.17308895388221052
17,250548,305,758,850,53,77,53,30,0.17341567843071523,0.5423364420603596,0.1721912427953375
18,250486,314,756,911,62,59,61,19,0.1729313610596488,0.5406580355231738,0.17167402975150026
19,250418,329,755,970,68,58,59,20,0.17282010823923757,0.5401216254845873,0.17152113110793385
20,250356,331,752,1036,62,63,66,29,0.1730839281135318,0.5407285455444739,0.17173633370842886
21,250296,320,770,1097,60,79,61,25,0.17372422224114506,0.5424772868039373,0.17232896583131238
22,250222,331,792,1140,74,65,43,27,0.17474184313925223,0.5453635016166707,0.17329687170048014
23,250167,324,797,1206,55,71,66,28,0.17613716414079109,0.5493800143978917,0.17462901021715815
24,250101,326,798,1269,66,64,63,28,0.17791016319746264,0.5545168394639757,0.17634805750236598
25,250026,340,799,1337,75,69,68,25,0.18006052247755713,0.5607612058584391,0.1784324488264246
26,249942,364,815,1386,84,65,49,19,0.1825877458390335,0.5680975891025496,0.18088256237999467
27,249867,370,834,1436,75,69,50,27,0.18549129649952245,0.5765077497916258,0.18369726023418234
28,249790,373,837,1511,77,78,75,30,0.1887707574676308,0.5859707789410717,0.18688890636914732
29,249703,394,854,1569,87,75,58,24,0.19242601753127772,0.5964631499694063,0.19044901962151914
30,249617,412,869,1625,86,71,56,28,0.19645748579996344,0.6079587771890533,0.1943713466307488
31,249539,429,856,1700,78,62,75,32,0.20086633794205053,0.6204290806594681,0.19866493653725023
32,249426,454,902,1749,113,95,49,47,0.20565479730810224,0.6338430572413752,0.2033373581638483
33,249312,486,917,1818,114,84,69,27,0.2108264540364501,0.6481673576754577,0.20835634382860813
34,249209,510,935,1888,103,88,70,27,0.21638662492999897,0.6633663694938682,0.21375362934329137
35,249106,525,961,1959,103,97,71,46,0.2223427562856446,0.6794023055584375,0.21954654612707356
36,249001,528,1019,2008,105,107,49,32,0.22870487083663174,0.6962352980054525,0.22573531321297388
37,248860,567,1052,2083,141,108,75,39,0.23548605839240003,0.7138234973634465,0.23233048194912495
38,248708,610,1085,2159,152,109,76,41,0.2427030074576563,0.7321231765975819,0.23931512992520237
39,248563,636,1126,2238,145,120,79,54,0.2503765718795487,0.751088839821945,0.24673078788594635
40,248417,659,1170,2324,146,130,86,57,0.25853236217987696,0.7706733354094898,0.2546192871172652
41,248250,697,1198,2425,167,129,101,60,0.26720134543590107,0.7908279732184107,0.26300248681230604
42,248064,741,1263,2502,186,142,77,56,0.2764204301472653,0.8115026456435052,0.2718937954777406
43,247887,762,1321,2601,177,157,99,66,0.2862330032893321,0.8326459521915797,0.28133473224410865
44,247684,803,1362,2723,203,163,122,66,0.2966893756435502,0.8542053272711699,0.29140409322399974
45,247477,848,1410,2837,207,162,114,62,0.3078470786626811,0.8761271708788874,0.3021154191506064
46,247252,922,1459,2947,225,159,110,55,0.31977094205780565,0.8983569818574703,0.3135550073802101
47,246997,1020,1519,3053,255,166,106,69,0.33253286696102663,0.9208394933942476,0.3257724031406543
48,246708,1145,1571,3168,289,167,115,72,0.3462111965613173,0.9435188104231473,0.3388228482784328
49,246452,1156,1695,3291,256,247,123,96,0.36088957699043367,0.9663385485886327,0.35277473427352835
50,246127,1274,1786,3413,325,213,122,97,0.3766551993204103,0.989241974426098,0.3678038028825783
51,245775,1391,1890,3553,352,244,140,100,0.3935963230389407,1.0121721464101971,0.3838399662441819
52,245363,1494,2052,3705,412,314,152,123,0.4117990070279381,1.0350720565204519,0.40101710872876334
53,244903,1673,2184,3859,460,286,154,114,0.43134302043023914,1.057884771972168,0.4193452709644658
54,244400,1844,2360,4022,503,339,163,138,0.45229697604082775,1.080553576760311,0.4388920264967404
55,243853,2011,2554,4214,547,386,192,147,0.47471282323084146,1.103022112664433,0.45969742018130244
56,243247,2226,2763,4402,606,397,188,177,0.49861995133678433,1.1252345193640847,0.48176767449998165
57,242557,2444,3029,4609,690,473,207,177,0.5240192769677442,1.147135573316377,0.5050503285267743
58,241798,2731,3276,4838,759,476,229,197,0.5508778018378178,1.1686708250504072,0.529430536051856
59,240875,3071,3572,5125,923,583,287,203,0.5791242077510637,1.1897867345372224,0.5548356077302817
60,239815,3512,3918,5401,1060,622,276,247,0.6086460763321105,1.2104308042987717,0.5808934184810274
61,238530,4101,4339,5680,1285,700,279,287,0.639289261020596,1.2305517099249028,0.6074543615523004
62,237077,4722,4833,6024,1453,838,344,344,0.6708597871047967,1.2500994276739366,0.6340370984500031
63,235493,5365,5432,6375,1584,950,351,378,0.7031284194469914,1.2690253588395684,0.6604865474189402
64,233507,6243,6170,6753,1986,1116,378,470,0.7358377451451994,1.2872824505749092,0.6865939390429563
65,231282,7276,6852,7263,2225,1192,510,484,0.7687113155685453,1.3048253128732787,0.7112185573690158
66,228620,8448,7788,7818,2662,1491,555,627,0.8014641333500144,1.321610331414912,0.7344560754466745
