Day,Susceptible,Exposed,Infected,Recovered,New_Exposed,New_Infections,New_Recoveries,Reported_Cases
0,959371,1012,3032,242,1012,0,242,0
1,958431,1792,2973,461,940,160,219,35
2,957491,2415,3038,713,940,317,252,59
3,956491,3003,3240,923,1000,412,210,73
4,955379,3622,3488,1168,1112,493,245,91
5,954185,4178,3883,1411,1194,638,243,115
6,952807,4862,4293,1695,1378,694,284,128
7,951326,5494,4829,2008,1481,849,313,180
8,949622,6317,5322,2396,1704,881,388,163
9,947732,7168,5944,2813,1890,1039,417,209
10,945590,8137,6670,3260,2142,1173,447,221
11,943233,9104,7530,3790,2357,1390,530,273
12,940473,10379,8447,4358,2760,1485,568,291
13,937391,11827,9423,5016,3082,1634,658,314
14,933945,13248,10781,5683,3446,2025,667,394
15,929965,15061,12122,6509,3980,2167,826,387
16,925440,17096,13677,7444,4525,2490,935,471
17,920269,19469,15478,8441,5171,2798,997,562
18,914503,21994,17542,9618,5766,3241,1177,623
19,907951,24730,20012,10964,6552,3816,1346,722
20,900501,27990,22708,12458,7450,4190,1494,846
21,892070,31659,25768,14160,8431,4762,1702,989
22,882683,35761,29021,16192,9387,5285,2032,1051
23,872133,40382,32771,18371,10550,5929,2179,1174
24,860402,45440,36909,20906,11731,6673,2535,1273
25,847379,50916,41631,23731,13023,7547,2825,1471
26,832913,57005,46787,26952,14466,8377,3221,1576
27,817084,63415,52630,30528,15829,9419,3576,1837
28,799747,70158,59238,34514,17337,10594,3986,2088
29,780765,77471,66411,39010,18982,11669,4496,2346
30,760245,85261,74080,44071,20520,12730,5061,2507
31,738402,92940,82464,49851,21843,14164,5780,2836
32,714948,100970,91605,56134,23454,15424,6283,3023
33,690067,109022,101373,63195,24881,16829,7061,3347
34,676677,104150,111989,70841,13390,18262,7646,3674
35,662384,100977,120803,79493,14293,17466,8652,3384
36,647618,98769,128464,88806,14766,16974,9313,3413
37,632507,97260,135170,98720,15111,16620,9914,3308
38,617198,96212,141270,108977,15309,16357,10257,3232
39,601763,95566,146624,119704,15435,16081,10727,3264
40,586403,94967,151392,130895,15360,15959,11191,3127
41,571266,94383,155387,142621,15137,15721,11726,3157
42,556243,93849,159155,154410,15023,15557,11789,3149
