Day,Reported_Cases
0,0
1,35
2,59
3,73
4,91
5,115
6,128
7,180
8,163
9,209
10,221
11,273
12,291
13,314
14,394
15,387
16,471
17,562
18,623
19,722
20,846
21,989
22,1051
23,1174
24,1273
25,1471
26,1576
27,1837
28,2088
29,2346
30,2507
31,2836
32,3023
33,3347
34,3674
35,3384
36,3413
37,3308
38,3232
39,3264
40,3127
41,3157
42,3149
43,3122
44,3288
45,3154
46,3126
47,3049
48,3123
49,2831
50,2984
51,2906
52,2836
53,2668
54,2725
55,2644
56,2708
57,2681
58,2591
59,2517
60,2381
61,2403
62,2377
63,2354
64,2314
65,2306
66,2175
67,2216
68,2163
69,2189
70,2135
71,2127
72,2066
73,2006
74,1990
75,2033
76,1973
77,1920
78,1898
79,1829
80,1847
81,1847
82,1763
83,1781
84,1750
85,1668
86,1568
87,1523
88,1501
89,1459
90,1423
91,1319
92,1362
93,1255
94,1145
95,1140
96,1063
97,1010
98,1030
99,1097
100,1052
101,1115
102,1052
103,1011
104,963
105,942
106,842
107,839
108,779
109,696
110,644
111,547
112,591
113,550
114,447
115,369
116,379
117,307
118,318
119,267
120,249
121,213
122,217
123,186
124,149
125,136
126,130
127,96
128,107
129,103
130,77
131,68
132,69
133,58
134,41
135,43
136,47
137,37
138,33
139,22
140,33
141,24
142,15
143,22
144,18
145,14
146,19
147,15
148,11
149,11
150,4
151,4
152,5
153,5
154,3
155,11
156,5
157,2
158,5
159,3
160,1
161,5
162,4
163,2
164,3
165,1
166,1
167,0
168,2
169,0
170,3
171,2
172,2
173,0
174,1
175,1
176,1
177,1
178,0
179,1
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,3
189,10
190,4
191,4
192,8
193,7
194,2
195,2
196,12
197,6
198,8
199,5
200,5
201,2
202,6
203,6
204,7
205,7
206,8
207,6
208,7
209,2
210,14
211,17
212,5
213,10
214,7
215,2
216,3
217,12
218,15
219,8
220,6
221,12
222,4
223,4
224,10
225,14
226,4
227,6
228,5
229,6
230,7
231,8
232,9
233,14
234,8
235,3
236,2
237,2
238,13
239,15
240,9
241,9
242,3
243,2
244,3
245,10
246,6
247,7
248,4
249,4
250,4
251,5
252,15
253,12
254,4
255,8
256,1
257,7
258,5
259,9
260,8
261,12
262,6
263,11
264,10
265,6
266,6
267,13
268,11
269,8
270,4
271,7
272,5
273,9
274,14
275,10
276,8
277,4
278,9
279,3
280,16
281,7
282,7
283,7
284,7
285,6
286,6
287,16
288,8
289,6
290,10
291,11
292,5
293,2
294,18
295,13
296,11
297,11
298,6
299,4
300,2
301,14
302,12
303,12
304,3
305,5
306,1
307,4
308,13
309,14
310,12
311,7
