Day,Susceptible,Exposed,Infected,Recovered,New_Exposed,New_Infections,New_Recoveries,Reported_Cases,Beta_Effective,Seasonality
0,486193,604,2822,1997,604,0,245,0,0.37411801207736195,1.0116366814277338
1,483904,847,2906,3959,543,300,216,46,0.380103106059956,1.0277931548647583
2,481574,999,3141,5902,596,444,209,91,0.3860599603721023,1.0438681061898665
3,479185,1147,3421,7863,661,513,233,84,0.3919714547201408,1.0598143848011436
4,476764,1304,3706,9842,699,542,257,95,0.3978206582177439,1.0755852175159148
5,474278,1433,4093,11812,776,647,260,102,0.4035908876998508,1.091134345764549
6,471739,1545,4512,13820,835,723,304,121,0.40926576657439684,1.1064161612748127
7,469123,1673,4987,15833,924,796,321,133,0.4148292842131247,1.121385839848792
8,466421,1851,5475,17869,1022,844,356,151,0.42026585590320137,1.1359994728399874
9,463582,2104,5970,19960,1165,912,417,148,0.42556038340420416,1.1502141959449397
10,460683,2299,6586,22048,1233,1038,422,196,0.4306983161803391,1.163988314931617
11,457664,2527,7225,24200,1364,1136,497,204,0.4356657134056681,1.177281427935782
12,454501,2811,7859,26445,1521,1237,603,240,0.4404493068706869,1.1900545439666197
13,451210,3078,8647,28681,1661,1394,606,269,0.4450365649518666,1.2022701972740326
14,447675,3498,9432,31011,1915,1495,710,286,0.44941575784171567,1.2138925572421404
15,443987,3823,10441,33365,2080,1755,746,305,0.4535760242754043,1.2248875334866502
16,440170,4122,11491,35833,2223,1924,874,345,0.4575074400308135,1.2352228758478272
17,436153,4487,12717,38259,2440,2075,849,359,0.4612010885215945,1.2448682689857695
18,431924,4944,13937,40811,2663,2206,986,397,0.4646491338468401,1.2537954213005245
19,427415,5428,15276,43497,2957,2473,1134,438,0.46784489670536106,1.2619781479162242
20,422633,5945,16835,46203,3249,2732,1173,486,0.4707829336259957,1.2693924474858396
21,417548,6537,18542,48989,3570,2978,1271,534,0.4734591200060287,1.2760165725912658
22,412192,7090,20396,51938,3857,3304,1450,612,0.4758707374851507,1.281831093532247
23,406347,7909,22370,54990,4368,3549,1575,644,0.4780165662090421,1.2868189553170342
24,400174,8612,24665,58165,4716,4013,1718,706,0.47989698255010443,1.2909655276876149
25,393769,9322,26993,61532,4969,4259,1931,796,0.4815140628471241,1.2942586480327816
26,386856,10232,29533,64995,5502,4592,2052,861,0.4828716936929371,1.2966886570631644
27,379766,10807,32406,68637,5701,5126,2253,921,0.4839756892294,1.2982484271435926
28,372021,11862,35262,72471,6385,5330,2474,935,0.48483391578922047,1.2989333831996746
29,363905,12735,38422,76554,6781,5908,2748,1122,0.48545642403807027,1.298741516137282
30,355436,13532,41771,80877,7164,6367,3018,1170,0.48585558849725025,1.2976733887355671
31,346604,14314,45328,85370,7558,6776,3219,1297,0.4860462539414396,1.295732133996235
32,337250,15291,48962,90113,8111,7134,3500,1340,0.4860458876363891,1.29292344595391
33,329681,14082,52747,95106,6361,7570,3785,1350,0.48587473567010325,1.2892555629745508
34,323980,11538,55826,100272,4518,7062,3983,1326,0.4855559806936358,1.284739243590904
35,318265,10374,57045,105932,4553,5717,4498,1045,0.48511589717306874,1.2793877349458733
36,312393,9973,57852,111398,4732,5133,4326,934,0.4845839987061285,1.2732167339363678
37,306524,9790,58302,117000,4748,4931,4481,884,0.48399317001607495,1.2662443411715976
38,300942,9429,58743,122502,4485,4846,4405,862,0.48337977384519165,1.2584910078808695
39,295430,9197,58889,128100,4434,4666,4520,875,0.4827837200844251,1.2499794759266074
40,290012,8989,58900,133715,4359,4567,4556,825,0.48224848107254376,1.2407347110985505
41,284603,8829,58867,139317,4372,4532,4565,868,0.48182103309925833,1.2307838298847922
42,279289,8738,58697,144892,4294,4385,4555,780,0.4815516998446306,1.2201560199344466
43,274143,8544,58378,150551,4146,4340,4659,863,0.4814938689817286,1.2088824544452457
44,269093,8284,58342,155897,4070,4330,4366,819,0.48170354881360256,1.1969962007271797
45,264108,8120,58005,161383,4020,4184,4521,798,0.4822387281673198,1.1845321232103783
46,259317,7867,57735,166697,3846,4099,4369,729,0.4831585006437457,1.1715267811817307
47,254562,7731,57181,172142,3829,3965,4519,717,0.48452191483966817,1.1580183215501982
48,249893,7619,56657,177447,3757,3869,4393,739,0.48638651674807404,1.1440463669553573
49,245313,7519,56072,182712,3685,3785,4370,678,0.4888065608932531,1.1296518995473712
50,240785,7457,55417,187957,3651,3713,4368,715,0.4918308846695016,1.1148771407792817
51,236463,7205,54957,192991,3460,3712,4172,696,0.49550046743932846,1.0997654275642137
52,232075,7085,54341,198115,3541,3661,4277,733,0.49984573316454156,1.0843610851607406
53,227895,6932,53630,203159,3351,3504,4215,651,0.5048837023371129,1.0687092971592658
54,223761,6727,53013,208115,3319,3524,4141,638,0.5106151533149185,1.0528559729507656
55,219745,6541,52257,213073,3215,3401,4157,625,0.5170220096190906,1.0368476130666353
56,215796,6459,51518,217843,3162,3244,3983,617,0.5240652198822287,1.0207311727846198
57,211929,6390,50739,222558,3097,3166,3945,610,0.5316834296065678,1.0045539244008923
58,208082,6234,50140,227160,3089,3245,3844,624,0.5397927457939019,0.9883633185722661
59,203264,7163,49462,231727,4074,3145,3823,580,0.5482878549785243,0.9722068451352417
60,198514,7577,49199,236326,4023,3609,3872,688,0.5570446650384104,0.9561318938101334
61,193468,8202,49078,240868,4338,3713,3834,721,0.5659245027428815,0.9401856151988564
62,187912,8958,49414,245332,4864,4108,3772,773,0.5747797250358947,0.924414782484085
63,182978,8809,49984,249845,4264,4413,3843,865,0.5834604168143901,0.9088656542354508
64,179450,7266,50538,254362,2876,4419,3865,875,0.5918216837716007,0.8935838387251872
65,175876,6595,50203,258942,2932,3603,3938,688,0.5997309391418383,0.878614160151208
66,171559,7127,49446,263484,3689,3157,3914,603,0.6070745535643914,0.8640005271600125
67,167378,7170,49145,267923,3569,3526,3827,659,0.6137632979167832,0.8497858040550603
68,162405,7953,48956,272302,4377,3594,3783,698,0.6197361506962813,0.8360116850683829
69,157982,7796,49104,276734,3842,3999,3851,766,0.6249622378005234,0.822718572064218
70,153198,8094,49268,281056,4222,3924,3760,759,0.6294408864811948,0.8099454560333803
71,148906,7773,49587,285350,3748,4069,3750,824,0.6331999692965367,0.7977298027259674
72,145018,7188,49742,289668,3356,3941,3786,769,0.6362928589015021,0.7861074427578596
73,141263,6750,49577,294026,3237,3675,3840,752,0.6387943951800015,0.7751124665133498
74,137725,6406,49157,298328,3035,3379,3799,665,0.6407962820098928,0.7647771241521728
75,133790,6604,48667,302555,3445,3247,3737,633,0.6424022931086055,0.7551317310142305
76,129726,6863,48229,306798,3585,3326,3764,676,0.643723592864447,0.7462045786994755
77,125397,7279,48002,310938,3867,3451,3678,646,0.6448743881872375,0.7380218520837758
