Day,Reported_Cases
0,0
1,46
2,91
3,84
4,95
5,102
6,121
7,133
8,151
9,148
10,196
11,204
12,240
13,269
14,286
15,305
16,345
17,359
18,397
19,438
20,486
21,534
22,612
23,644
24,706
25,796
26,861
27,921
28,935
29,1122
30,1170
31,1297
32,1340
33,1350
34,1326
35,1045
36,934
37,884
38,862
39,875
40,825
41,868
42,780
43,863
44,819
45,798
46,729
47,717
48,739
49,678
50,715
51,696
52,733
53,651
54,638
55,625
56,617
57,610
58,624
59,580
60,688
61,721
62,773
63,865
64,875
65,688
66,603
67,659
68,698
69,766
70,759
71,824
72,769
73,752
74,665
75,633
76,676
77,646
78,708
79,736
80,717
81,722
82,664
83,678
84,713
85,642
86,676
87,661
88,620
89,603
90,571
91,522
92,558
93,525
94,514
95,454
96,462
97,424
98,412
99,385
100,369
101,380
102,313
103,332
104,299
105,286
106,266
107,254
108,257
109,220
110,208
111,192
112,190
113,184
114,194
115,163
116,152
117,164
118,133
119,132
120,140
121,101
122,117
123,101
124,90
125,89
126,69
127,63
128,79
129,73
130,69
131,57
132,50
133,42
134,58
135,41
136,34
137,30
138,25
139,33
140,27
141,29
142,23
143,23
144,22
145,13
146,15
147,13
148,9
149,12
150,11
151,10
152,6
153,12
154,6
155,10
156,4
157,8
158,4
159,11
160,8
161,8
162,2
163,2
164,2
165,3
166,5
167,1
168,3
169,1
170,4
171,1
172,2
173,0
174,5
175,1
176,0
177,0
178,0
179,0
180,0
181,2
182,1
183,1
184,0
185,5
186,2
187,0
188,1
189,1
190,0
191,0
192,0
193,2
194,0
195,0
196,12
197,3
198,3
199,0
200,2
201,0
202,0
203,9
204,9
205,2
206,1
207,1
208,0
209,0
210,20
211,4
212,3
213,4
214,2
215,0
216,0
217,11
218,6
219,4
220,2
221,0
222,1
223,0
224,11
225,3
226,3
227,3
228,1
229,0
230,0
231,11
232,9
233,3
234,2
235,0
236,0
237,2
238,8
239,2
240,5
241,4
242,2
243,1
244,0
245,13
246,4
247,1
248,4
249,1
250,0
251,1
252,14
253,6
254,3
255,3
256,0
257,0
258,1
259,13
260,4
261,6
262,2
263,1
264,0
265,0
266,12
267,3
268,3
269,2
270,2
271,0
272,0
273,11
274,9
275,2
276,2
277,1
278,0
279,0
280,12
281,9
282,3
283,1
284,2
285,1
286,1
287,7
288,7
289,4
290,3
291,3
292,2
293,0
294,15
295,7
296,3
297,0
298,1
299,0
300,0
301,17
302,6
303,3
304,2
305,1
306,0
307,1
308,14
309,10
310,2
