Day,Susceptible,Exposed,Infected,Recovered,New_Exposed,New_Infections,New_Recoveries,Reported_Cases
0,811470,303,1412,125,303,0,125,0
1,811182,507,1388,233,288,84,108,26
2,810891,681,1399,339,291,117,106,46
3,810588,840,1438,444,303,144,105,50
4,810238,969,1544,559,350,221,115,83
5,809859,1102,1674,675,379,246,116,87
6,809433,1270,1813,794,426,258,119,100
7,808910,1459,2017,924,523,334,130,115
8,808317,1670,2257,1066,593,382,142,137
9,807649,1936,2485,1240,668,402,174,146
10,806880,2220,2762,1448,769,485,208,191
11,805979,2588,3093,1650,901,533,202,205
12,804932,2994,3487,1897,1047,641,247,244
13,803692,3481,3969,2168,1240,753,271,291
14,802211,4126,4522,2451,1481,836,283,326
15,800504,4795,5191,2820,1707,1038,369,417
16,798534,5505,6041,3230,1970,1260,410,473
17,796158,6485,6985,3682,2376,1396,452,552
18,793372,7613,8084,4241,2786,1658,559,647
19,790095,8948,9432,4835,3277,1942,594,755
20,786144,10682,10912,5572,3951,2217,737,861
21,781510,12689,12753,6358,4634,2627,786,1010
22,776104,14916,14923,7367,5406,3179,1009,1269
23,769618,17655,17517,8520,6486,3747,1153,1495
24,762021,20789,20596,9904,7597,4463,1384,1717
25,753444,24289,24131,11446,8577,5077,1542,2051
26,743401,28199,28381,13329,10043,6133,1883,2528
27,731699,32792,33361,15458,11702,7109,2129,2861
28,718268,37986,39124,17932,13431,8237,2474,3519
29,705528,41357,45532,20893,12740,9369,2961,3885
30,696759,39678,52501,24372,8769,10448,3479,4285
31,686992,39492,58440,28386,9767,9953,4014,4106
32,676377,40335,63738,32860,10615,9772,4474,4045
33,665066,41528,68900,37816,11311,10118,4956,4353
34,653223,42814,74174,43099,11843,10557,5283,4482
35,641040,44461,78962,48847,12183,10536,5748,4543
36,628787,45644,83836,55043,12253,11070,6196,4627
37,616367,46630,88799,61514,12420,11434,6471,4898
38,603923,47268,93806,68313,12444,11806,6799,4964
39,591185,48299,98344,75482,12738,11707,7169,4989
40,578803,48513,102931,83063,12382,12168,7581,5113
41,566372,48805,106976,91157,12431,12139,8094,5176
42,554092,48946,110899,99373,12280,12139,8216,5223
43,542003,48760,114562,107985,12089,12275,8612,5243
44,530347,48383,117735,116845,11656,12033,8860,5217
45,519023,47788,120637,125862,11324,11919,9017,5225
46,508335,46567,123364,135044,10688,11909,9182,5201
47,497960,45185,125668,144497,10375,11757,9453,5109
48,487861,43885,127469,154095,10099,11399,9598,4983
49,478129,42901,128442,163838,9732,10716,9743,4707
50,468566,41716,129309,173719,9563,10748,9881,4695
51,459421,40418,129833,183638,9145,10443,9919,4654
52,450555,39255,129922,193578,8866,10029,9940,4478
53,441735,38199,129775,203601,8820,9876,10023,4358
54,433325,37000,129359,213626,8410,9609,10025,4243
55,424956,36160,128716,223478,8369,9209,9852,4112
56,416792,35265,127915,233338,8164,9059,9860,4110
57,408504,34768,126760,243278,8288,8785,9940,4020
58,400191,34335,125696,253088,8313,8746,9810,4083
59,391943,34096,124484,262787,8248,8487,9699,3878
60,383365,34209,123237,272499,8578,8465,9712,3867
61,374680,34389,122438,281803,8685,8505,9304,3858
62,365646,34875,121501,291288,9034,8548,9485,3823
63,356401,35399,120881,300629,9245,8721,9341,4037
64,346832,36256,120213,310009,9569,8712,9380,3984
65,336918,37182,120163,319047,9914,8988,9038,4222
66,326505,38318,120235,328252,10413,9277,9205,4283
67,315505,39763,120527,337515,11000,9555,9263,4428
68,304072,41241,121122,346875,11433,9955,9360,4631
69,292229,42720,122197,356164,11843,10364,9289,4883
70,280121,44097,123644,365448,12108,10731,9284,5101
71,267448,45838,125109,374915,12673,10932,9467,5171
72,254342,47450,127109,384409,13106,11494,9494,5424
73,240770,49137,129140,394263,13572,11885,9854,5693
74,227161,50413,131592,404144,13609,12333,9881,5875
75,213014,51845,134049,414402,14147,12715,10258,6112
76,199034,52941,136431,424904,13980,12884,10502,6183
77,185131,53660,139219,435300,13903,13184,10396,6434
78,171100,54208,142045,445957,14031,13483,10657,6530
79,157384,54474,144561,456891,13716,13450,10934,6565
80,144363,53594,147199,468154,13021,13901,11263,6730
81,131622,52997,149135,479556,12741,13338,11402,6517
82,119467,51907,150776,491160,12155,13245,11604,6485
83,108183,50367,151946,502814,11284,12824,11654,6256
84,97499,48379,152945,514487,10684,12672,11673,6237
85,87682,46130,153149,526349,9817,12066,11862,5942
86,78837,43386,153031,538056,8845,11589,11707,5641
87,70598,40732,152344,549636,8239,10893,11580,5397
88,63290,37787,151027,561206,7308,10253,11570,5103
89,56776,34873,148735,572926,6514,9428,11720,4701
90,51035,31955,145914,584406,5741,8659,11480,4349
91,45874,29207,142667,595562,5161,7909,11156,3973
92,41477,26346,138985,606502,4397,7258,10940,3610
93,37492,23739,134856,617223,3985,6592,10721,3268
94,34134,21094,130504,627578,3358,6003,10355,3032
95,31167,18857,125637,637649,2967,5204,10071,2668
96,28584,16757,120674,647295,2583,4683,9646,2350
97,26351,14757,115877,656325,2233,4233,9030,2160
98,24438,12961,110631,665280,1913,3709,8955,1875
99,22785,11304,105422,673799,1653,3310,8519,1745
100,21364,9936,100063,681947,1421,2789,8148,1432
101,20153,8667,94782,689708,1211,2480,7761,1293
102,19164,7482,89664,697000,989,2174,7292,1080
103,18287,6482,84853,703688,877,1877,6688,969
104,17545,5686,79714,710365,742,1538,6677,830
105,16905,4921,75021,716463,640,1405,6098,747
106,16373,4205,70558,722174,532,1248,5711,693
107,15903,3575,66078,727754,470,1100,5580,549
108,15449,3148,61917,732796,454,881,5042,468
109,15077,2738,58070,737425,372,782,4629,406
110,14770,2344,54321,741875,307,701,4450,392
111,14463,2084,50763,746000,307,567,4125,297
112,14237,1780,47330,749963,226,530,3963,263
113,14040,1532,44144,753594,197,445,3631,249
114,13855,1342,41184,756929,185,375,3335,193
115,13670,1201,38291,760148,185,326,3219,181
116,13415,1131,35737,763027,255,325,2879,174
117,13165,1118,33364,765663,250,263,2636,131
118,12961,1046,31106,768197,204,276,2534,137
119,12743,998,28961,770608,218,266,2411,128
120,12567,935,26961,772847,176,239,2239,133
121,12422,828,25124,774936,145,252,2089,141
122,12282,758,23365,776905,140,210,1969,113
123,12148,695,21766,778701,134,197,1796,107
124,12036,645,20179,780450,112,162,1749,86
