Day,Reported_Cases
0,0
1,66
2,93
3,113
4,127
5,139
6,158
7,166
8,163
9,196
10,177
11,215
12,247
13,234
14,270
15,277
16,317
17,337
18,352
19,367
20,433
21,437
22,453
23,454
24,584
25,587
26,648
27,708
28,778
29,789
30,929
31,1056
32,1120
33,1119
34,1229
35,1358
36,1548
37,1693
38,1818
39,1921
40,2107
41,2258
42,2266
43,2125
44,1914
45,1922
46,1907
47,2021
48,2026
49,2127
50,2224
51,2259
52,2346
53,2412
54,2485
55,2534
56,2652
57,2724
58,2776
59,2944
60,3011
61,3111
62,3243
63,3334
64,3373
65,3587
66,3523
67,3537
68,3468
69,3460
70,3401
71,3419
72,3388
73,3157
74,2930
75,2910
76,2681
77,2464
78,2365
79,2100
80,1993
81,1776
82,1671
83,1484
84,1231
85,1121
86,1027
87,915
88,822
89,733
90,644
91,548
92,521
93,427
94,390
95,287
96,316
97,253
98,265
99,256
100,240
101,240
102,208
103,212
104,183
105,129
106,167
107,130
108,86
109,99
110,84
111,68
112,73
113,72
114,54
115,37
116,37
117,47
118,35
119,34
120,31
121,30
122,26
123,22
124,17
125,19
126,21
127,20
128,18
129,15
130,7
131,8
132,8
133,11
134,12
135,5
136,4
137,6
138,6
139,6
140,8
141,4
142,3
143,6
144,2
145,3
146,5
147,2
148,3
149,2
150,1
151,0
152,1
153,0
154,2
155,2
156,1
157,2
158,1
159,1
160,0
161,0
162,0
163,1
164,0
