Day,Susceptible,Exposed,Infected,Recovered,New_Exposed,New_Infections,New_Recoveries,Reported_Cases
0,988756,557,2460,192,557,0,192,0
1,988312,925,2349,379,444,76,187,38
2,987865,1225,2341,534,447,147,155,72
3,987431,1504,2310,720,434,155,186,63
4,986965,1782,2325,893,466,188,173,88
5,986519,2005,2383,1058,446,223,165,98
6,986085,2192,2435,1253,434,247,195,119
7,985638,2347,2527,1453,447,292,200,127
8,985174,2494,2658,1639,464,317,186,138
9,984666,2623,2829,1847,508,379,208,191
10,984123,2736,3060,2046,543,430,199,191
11,983478,2985,3235,2267,645,396,221,179
12,982839,3216,3400,2510,639,408,243,202
13,982264,3310,3642,2749,575,481,239,209
14,981566,3544,3832,3023,698,464,274,210
15,980832,3756,4033,3344,734,522,321,233
16,980126,3934,4257,3648,706,528,304,252
17,979315,4131,4578,3941,811,614,293,313
18,978478,4351,4874,4262,837,617,321,297
19,977564,4647,5123,4631,914,618,369,281
20,976595,4951,5410,5009,969,665,378,304
21,975517,5341,5663,5444,1078,688,435,320
22,974485,5645,5922,5913,1032,728,469,358
23,973375,5961,6287,6342,1110,794,429,374
24,972211,6275,6601,6878,1164,850,536,406
25,971014,6557,6981,7413,1197,915,535,440
26,969775,6860,7367,7963,1239,936,550,464
27,968443,7182,7797,8543,1332,1010,580,472
28,966958,7600,8222,9185,1485,1067,642,542
29,965408,8096,8627,9834,1550,1054,649,498
30,963833,8557,9081,10494,1575,1114,660,549
31,962160,9012,9590,11203,1673,1218,709,564
32,960341,9572,10069,11983,1819,1259,780,647
33,958442,10156,10625,12742,1899,1315,759,673
34,956475,10642,11324,13524,1967,1481,782,752
35,954350,11244,11936,14435,2125,1523,911,777
36,952085,11965,12616,15299,2265,1544,864,791
37,949688,12695,13274,16308,2397,1667,1009,856
38,947207,13342,14089,17327,2481,1834,1019,902
39,944596,14119,14860,18390,2611,1834,1063,955
40,941746,14897,15751,19571,2850,2072,1181,1108
41,938748,15769,16677,20771,2998,2126,1200,1077
42,935600,16691,17626,22048,3148,2226,1277,1184
43,932290,17697,18635,23343,3310,2304,1295,1218
