Day,Reported_Cases
0,0
1,38
2,72
3,63
4,88
5,98
6,119
7,127
8,138
9,191
10,191
11,179
12,202
13,209
14,210
15,233
16,252
17,313
18,297
19,281
20,304
21,320
22,358
23,374
24,406
25,440
26,464
27,472
28,542
29,498
30,549
31,564
32,647
33,673
34,752
35,777
36,791
37,856
38,902
39,955
40,1108
41,1077
42,1184
43,1218
44,1366
45,1475
46,1497
47,1637
48,1674
49,1781
50,1903
51,2064
52,2297
53,2500
54,2727
55,2928
56,3115
57,3403
58,3563
59,3867
60,4265
61,4605
62,5153
63,5620
64,6231
65,6796
66,7283
67,7916
68,8770
69,9405
70,9644
71,9588
72,9251
73,9337
74,9634
75,9523
76,9791
77,9857
78,9745
79,9966
80,10009
81,10064
82,10186
83,10334
84,10265
85,10069
86,10139
87,9939
88,9744
89,9702
90,9572
91,9255
92,8894
93,8536
94,8604
95,8085
96,8033
97,7465
98,7128
99,6784
100,6527
101,6027
102,5731
103,5506
104,5175
105,4853
106,4623
107,4443
108,3881
109,3863
110,3553
111,3289
112,3136
113,2977
114,2745
115,2645
116,2369
117,2286
118,2167
119,2192
120,2231
121,2210
122,2146
123,2135
124,2085
125,1939
126,1948
127,1912
128,1789
129,1804
130,1647
131,1647
132,1516
133,1490
134,1436
135,1422
136,1319
137,1301
138,1232
139,1166
140,1078
141,1051
142,1022
143,951
144,908
145,947
146,870
147,820
148,798
149,745
150,721
151,699
152,631
153,623
154,581
155,575
156,560
157,540
158,488
159,459
160,439
161,438
162,399
163,432
164,344
165,365
166,338
167,284
168,304
169,286
170,302
171,284
172,244
173,243
174,235
175,220
176,222
177,195
178,215
179,176
180,158
181,193
182,157
183,142
184,126
185,140
186,134
187,118
188,119
189,124
190,107
191,110
192,102
193,108
194,111
195,92
196,92
197,92
198,82
199,71
200,78
201,65
202,68
203,61
204,56
205,56
206,63
207,52
208,52
209,60
