Day,Susceptible,Infected,Recovered,New_Infections,New_Recoveries,Reported_Cases,Beta_Effective,Season_Index,Intervention_Flag,Quarantine_Fraction,Reporting_Prob,MultiWave_Flag
0,682179,1013,79,111,79,43,0.2379033029048684,1.0,0,0.5,0.48689337978907465,0
1,682061,1076,134,118,55,84,0.25671164950200315,1.0,0,0.5,0.7010567036820883,0
2,681920,1132,219,141,85,83,0.24351096862158397,1.0,0,0.5,0.5772012993651701,0
3,681772,1188,311,148,92,90,0.24064403977765506,1.0,0,0.5,0.6229070741791929,0
4,681609,1252,410,163,99,87,0.25016565555591846,1.0,0,0.5,0.48877429357458085,0
5,681462,1300,509,147,99,63,0.23536722638993457,1.0,0,0.5,0.5011199685743488,0
6,681338,1330,603,124,94,77,0.2237874953273305,1.0,0,0.5,0.6135162975397933,0
7,681160,1418,693,178,90,99,0.25739664126442163,1.0,0,0.5,0.5757972749604251,0
8,680989,1472,810,171,117,103,0.234580087833417,1.0,0,0.5,0.5918359132030361,0
9,680799,1546,926,190,116,106,0.2495149171227955,1.0,0,0.5,0.5946300817714494,0
10,680608,1634,1029,191,103,109,0.22975587039075615,1.0,0,0.5,0.5451107365261864,0
11,680418,1673,1180,190,151,107,0.24536115947534332,1.0,0,0.5,0.4983621450887222,0
12,680227,1737,1307,191,127,105,0.24980025218355914,1.0,0,0.5,0.5018889941436252,0
13,680024,1828,1419,203,112,120,0.24312016492058572,1.0,0,0.5,0.5938291099450556,0
14,679823,1891,1557,201,138,129,0.2280936338628218,1.0,0,0.5,0.6626602290980966,0
15,679611,1968,1692,212,135,134,0.2532821843332201,1.0,0,0.5,0.6116532569314524,0
16,679389,2056,1826,222,134,127,0.2371530960283699,1.0,0,0.5,0.5918653139615451,0
17,679163,2118,1990,226,164,149,0.24227834443418117,1.0,0,0.5,0.6236127713560636,0
18,678904,2188,2179,259,163,142,0.2501177897391404,1.0,0,0.5,0.5817505319535141,0
19,678646,2289,2336,258,157,162,0.24747202518985678,1.0,0,0.5,0.633953536492179,0
20,678363,2391,2517,283,181,171,0.26717431395375246,1.0,0,0.5,0.611893336345872,0
21,678089,2464,2718,274,201,132,0.24382913459992467,1.0,0,0.5,0.4882982675289897,0
