Day,Reported_Cases
0,1
1,475
2,665
3,875
4,1093
5,1336
6,1720
7,2128
8,2712
9,3304
10,3938
11,4983
12,6251
13,7524
14,6302
15,6370
16,6595
17,7060
18,7467
19,7869
20,8039
21,8496
22,8343
23,8544
24,8227
25,8136
26,7724
27,7424
28,6803
29,6445
30,5747
31,5210
32,4535
33,4122
34,3561
35,3196
36,2666
37,2309
38,1933
39,1765
40,1563
41,1264
42,1150
43,939
44,856
45,730
46,598
47,512
48,466
49,429
50,360
51,329
52,288
53,233
54,227
55,227
56,174
57,176
58,212
59,208
60,198
61,197
62,158
63,165
64,118
65,98
66,119
67,105
68,73
69,76
70,59
71,57
72,48
73,58
74,45
75,36
76,29
77,20
78,20
79,31
80,23
81,13
82,21
83,17
84,7
85,11
86,10
87,5
88,13
89,5
90,9
91,5
92,6
93,4
94,4
95,2
96,3
97,10
98,1
99,3
100,4
101,3
102,3
103,1
104,3
105,6
106,7
107,3
108,1
109,2
110,1
111,3
112,1
113,4
114,4
115,2
116,2
117,0
118,1
119,3
120,1
121,0
122,1
123,0
124,1
125,2
126,0
127,0
128,1
129,1
130,1
131,0
132,2
133,30
134,12
135,4
136,2
137,1
138,4
139,2
140,30
141,16
142,6
143,5
144,0
145,4
146,1
147,26
148,15
149,6
150,1
151,1
152,1
153,1
154,22
155,13
156,9
157,6
158,7
159,1
160,0
161,27
162,10
163,7
164,3
165,2
166,2
167,3
168,24
169,11
170,7
171,5
172,0
173,1
174,2
175,20
176,2
177,4
178,1
179,0
180,1
181,2
182,10
183,1
184,3
185,5
186,1
187,2
188,1
189,1
190,2
191,2
192,0
193,1
194,0
195,1
196,0
197,0
198,1
199,0
200,1
201,1
202,1
203,0
204,1
205,1
206,1
207,1
208,1
209,1
210,0
211,0
212,1
213,1
214,0
215,1
216,2
217,1
218,0
219,0
220,0
221,1
222,2
223,1
224,0
225,4
226,0
227,0
228,0
229,1
230,0
231,1
232,2
233,2
234,0
235,1
236,0
237,1
238,1
239,1
240,0
241,1
