Day,Reported_Cases
0,0
1,19
2,44
3,41
4,47
5,61
6,58
7,73
8,84
9,73
10,103
11,95
12,98
13,124
14,103
15,122
16,146
17,178
18,184
19,202
20,222
21,284
22,297
23,356
24,359
25,422
26,456
27,513
28,552
29,694
30,708
31,736
32,651
33,699
34,697
35,643
36,725
37,714
38,719
39,840
40,795
41,848
42,841
43,895
44,911
45,956
46,929
47,960
48,979
49,952
50,927
51,930
52,911
53,906
54,908
55,931
56,813
57,791
58,817
59,779
60,704
61,671
62,637
63,503
64,531
65,505
66,426
67,399
68,372
69,341
70,293
71,237
72,238
73,202
74,173
75,144
76,164
77,131
78,110
79,90
80,86
81,64
82,82
83,66
84,66
85,69
86,61
87,64
88,62
89,46
90,35
91,41
92,33
93,36
94,38
95,17
96,20
97,23
98,12
99,9
100,7
101,14
102,7
103,8
104,7
105,3
106,8
107,7
108,9
109,9
110,5
111,6
112,4
113,5
114,1
115,3
116,2
117,1
118,3
119,3
120,3
121,4
122,2
123,3
124,4
125,3
126,3
127,3
128,1
129,1
130,4
131,2
132,4
133,1
134,1
135,1
136,2
137,2
138,1
139,2
140,1
141,0
142,0
143,1
144,1
145,2
146,1
147,0
148,0
149,0
150,0
151,1
152,0
153,0
154,0
155,1
156,0
157,0
158,1
159,0
160,0
161,1
162,0
163,0
164,0
165,0
166,0
167,0
168,5
169,3
170,1
171,0
172,1
173,1
174,1
175,3
176,2
177,0
178,2
179,2
180,1
181,2
182,1
183,4
184,3
185,4
186,2
187,0
188,1
189,5
190,3
191,0
192,1
193,1
194,0
195,1
196,7
197,4
198,1
199,1
200,0
201,0
202,1
203,1
204,2
205,1
206,0
207,1
208,1
209,0
210,3
211,4
212,2
213,2
214,2
215,2
216,0
217,4
218,4
219,2
220,1
221,0
222,0
223,0
224,3
225,1
226,2
227,1
228,1
229,1
230,0
231,1
232,3
233,0
234,2
235,1
236,0
237,0
238,1
239,1
240,1
241,1
242,2
243,1
244,2
245,4
246,5
247,2
248,3
249,1
250,0
251,1
252,5
253,4
254,4
255,1
256,0
257,3
258,0
259,4
260,6
261,1
262,4
263,1
264,2
265,1
266,3
267,4
268,1
269,1
270,1
271,2
272,0
273,8
274,5
275,1
276,1
277,0
278,1
279,0
280,2
281,3
282,5
283,2
284,1
285,0
286,0
287,4
288,8
289,2
290,0
291,4
292,0
293,0
294,2
295,4
296,1
297,3
298,0
299,0
300,0
301,4
302,2
303,1
304,1
305,1
306,0
307,0
308,3
309,3
310,2
311,2
