Day,Reported_Cases
0,0
1,14
2,30
3,39
4,35
5,50
6,57
7,57
8,82
9,90
10,98
11,106
12,108
13,122
14,130
15,151
16,164
17,184
18,178
19,179
20,207
21,218
22,224
23,275
24,277
25,292
26,325
27,311
28,358
29,353
30,350
31,412
32,421
33,460
34,451
35,486
36,537
37,468
38,522
39,529
40,545
41,504
42,566
43,583
44,556
45,581
46,610
47,552
48,546
49,531
50,467
51,452
52,368
53,396
54,392
55,371
56,393
57,403
58,430
59,436
60,481
61,451
62,462
63,421
64,459
65,472
66,427
67,426
68,406
69,406
70,417
71,409
72,391
73,355
74,344
75,291
76,323
77,328
78,281
79,250
80,242
81,235
82,217
83,184
84,200
85,135
86,151
87,145
88,133
89,131
90,103
91,102
92,100
93,87
94,81
95,63
96,66
97,57
98,49
99,60
100,39
101,50
102,35
103,26
104,29
105,23
106,23
107,26
108,21
109,10
110,19
111,10
112,15
113,7
114,5
115,9
116,8
117,9
118,8
119,8
120,6
121,4
122,10
123,4
124,2
125,6
126,4
127,6
128,1
129,4
130,2
131,6
132,5
133,4
134,2
135,2
136,4
137,4
138,2
139,1
140,1
141,1
142,0
143,0
144,2
145,1
146,0
147,2
148,1
149,2
150,0
151,1
152,3
153,1
154,0
155,0
156,2
157,0
158,2
159,1
160,0
161,2
162,0
163,0
164,1
165,1
166,2
167,0
168,2
169,8
170,3
171,4
172,5
173,2
174,2
175,0
176,2
177,2
178,0
179,3
180,0
181,0
182,7
183,3
184,6
185,0
186,2
187,4
188,1
189,7
190,7
191,6
192,3
193,4
194,0
195,2
196,5
197,1
198,1
199,1
200,1
201,4
202,2
203,2
204,3
205,4
206,7
207,3
208,1
209,1
210,5
211,3
212,2
213,4
214,0
215,1
216,1
217,7
218,6
219,3
220,3
221,4
222,2
223,5
224,1
225,1
226,4
227,2
228,2
229,3
230,3
231,7
232,11
233,4
234,2
235,3
236,8
237,6
238,3
239,7
240,2
241,3
242,3
243,4
244,4
245,6
246,4
247,2
248,8
249,2
250,2
251,1
252,6
253,5
254,0
