Day,Reported_Cases
0,0
1,18
2,37
3,49
4,49
5,74
6,87
7,98
8,115
9,140
10,152
11,158
12,168
13,212
14,212
15,242
16,290
17,305
18,371
19,438
20,463
21,551
22,601
23,661
24,759
25,854
26,904
27,1051
28,1208
29,1353
30,1475
31,1681
32,1915
33,2109
34,2422
35,2604
36,2870
37,3148
38,3506
39,3837
40,4062
41,4547
42,5071
43,5199
44,5094
45,4939
46,4980
47,4902
48,4935
49,4932
50,4975
51,4972
52,4920
53,5110
54,5036
55,5169
56,5111
57,5189
58,5247
59,5196
60,5196
61,5224
62,5195
63,5284
64,5279
65,5223
66,5254
67,5076
68,4966
69,4924
70,4755
71,4883
72,4649
73,4592
74,4395
75,4241
76,4141
77,4033
78,3809
79,3845
80,3692
81,3533
82,3257
83,3200
84,3108
85,3029
86,2757
87,2708
88,2696
89,2419
90,2276
91,2250
92,2081
93,1949
94,1901
95,1841
96,1677
97,1608
98,1509
99,1426
100,1358
101,1388
102,1401
103,1460
104,1458
105,1333
106,1350
107,1283
108,1252
109,1263
110,1173
111,1119
112,1023
113,981
114,908
115,901
116,932
117,742
118,696
119,681
120,679
121,658
122,544
123,524
124,504
125,456
126,411
127,402
128,355
129,328
130,305
131,300
132,254
133,243
134,250
135,209
136,193
137,162
138,127
139,144
140,132
141,128
142,117
143,109
144,87
145,79
146,77
147,74
148,72
149,63
150,63
151,44
152,57
153,40
154,43
155,34
156,36
157,29
158,29
159,22
160,22
161,22
162,30
163,24
164,27
165,11
